年份,合同名称,详情链接,签订时间,发布时间,采购人,供应商,合同编号,项目编号,采购人地址,采购人联系方式,供应商地址,供应商联系方式,主要标的名称,规格型号或服务要求,主要标的数量,主要标的单价,合同金额,履约期限和地点等简要信息,采购方式,所属地域,所属行业,代理机构,合同签订日期,合同公告日期,合同金额num_万元,id,采购人_纬度,采购人_经度,采购人_省,采购人_省代码,采购人_市,采购人_市代码,采购人_县,采购人_县代码,供应商_纬度,供应商_经度,供应商_省,供应商_省代码,供应商_市,供应商_市代码,供应商_县,供应商_县代码,text,ML预测
2012,专项业务费-万盛经开区2020年矿产资源技术支撑及矸石山安全监管技术服务采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97679dd5b01768bd30b593391?contractSign=0,2012-05-07,2020-12-23,重庆市万盛经济技术开发区国土房管局,重庆一三六地质矿产有限责任公司,20C0015-01,20C0015,万盛经开区万东北路57号,18725994018,重庆市渝北区龙溪镇花卉园西一路9号,13368289866,无,无,1.00项,310000.0000,31.000000万元,详见合同附件,电子卖场,,,,2012-05-07,2020-12-23,31.0,922932.0,,,,,,,,,29.5850744368155,106.506855922494,重庆市,500000.0,重庆市,500000.0,渝北区,500112.0,重庆市万盛经济技术开发区国土房管局 专项业务费-万盛经开区2020年矿产资源技术支撑及矸石山安全监管技术服务采购合同,协调能力
2012,万盛经开区矿产资源总体规划（2021-2025）和规划环境影响评价报告采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa76610bf401768bd3070671b4?contractSign=0,2012-05-06,2020-12-23,重庆市万盛经济技术开发区国土房管局,重庆地质矿产研究院,20C0014-02,20C0014,万盛经开区万东北路57号,18725994018,重庆市渝北区空港新城兰馨大道111号,15023065231,无,无,1.00项,432000.0000,43.200000万元,详见合同附件,竞争性磋商,,,,2012-05-06,2020-12-23,43.2,922933.0,,,,,,,,,29.7219675238753,106.603373814485,重庆市,500000.0,重庆市,500000.0,渝北区,500112.0,重庆市万盛经济技术开发区国土房管局 万盛经开区矿产资源总体规划（2021-2025）和规划环境影响评价报告采购合同,协调能力
2012,农村土地房屋和集体土地所有权成果质量验收采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa76610bf401769621a49219b0?contractSign=0,2012-08-01,2020-12-25,重庆市万盛经济技术开发区国土房管局,拓土发展有限公司,20C00086-01,20C00086,万盛经开区万东北路57号,18996059606,重庆市渝北区龙溪街道新牌坊一路1号世纪花园1幢14-2,13996932070,无,无,1.00条,248000.0000,24.800000万元,详见合同附件,竞争性磋商,,,,2012-08-01,2020-12-25,24.8,922934.0,,,,,,,,,29.602431813626,106.511905546454,重庆市,500000.0,重庆市,500000.0,渝北区,500112.0,重庆市万盛经济技术开发区国土房管局 农村土地房屋和集体土地所有权成果质量验收采购合同,协调能力
2012,农村乱占耕地建房问题摸排技术服务采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97679dd5b01769621a6245cfb?contractSign=0,2012-08-01,2020-12-25,重庆市万盛经济技术开发区国土房管局,重庆华江地理信息有限公司,20C00095-02,20C00095,万盛经开区万东北路57号,13883479851,重庆市北部新区吉兴路9号19幢1单元6-2,67383494,无,无,1.00组,296000.0000,29.600000万元,详见合同附件,电子卖场,,,,2012-08-01,2020-12-25,29.6,922935.0,,,,,,,,,29.6394222024851,106.528254997606,重庆市,500000.0,重庆市,500000.0,渝北区,500112.0,重庆市万盛经济技术开发区国土房管局 农村乱占耕地建房问题摸排技术服务采购合同,协调能力
2012,办公桌椅一批采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97826345901783c6f14d5583e?contractSign=0,2012-12-31,2021-03-17,重庆市綦江区精神卫生中心,綦江区南洋家俱城,12A0312-01,12A0312,篆塘镇篆南街54号,13983174833,綦江区,13389609555,无,批,1.00批,134200.0000,13.420000万元,详见合同附件,电子卖场,,,,2012-12-31,2021-03-17,13.42,922936.0,28.8965539262371,106.665585160594,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,29.0312807844415,106.647251246294,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,重庆市綦江区精神卫生中心 办公桌椅一批采购合同,协调能力
2012,病房库房定制柜采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa7826205901783c6f179b59bf?contractSign=0,2012-11-06,2021-03-17,重庆市綦江区精神卫生中心,綦江县南洋家具城,12A0303-01,12A0303,篆塘镇篆南街54号,13983174833,綦江区立交桥,13594037837,库房物品柜,批,1.00批,121600.0000,12.160000万元,详见合同附件,电子卖场,,,,2012-11-06,2021-03-17,12.16,922937.0,28.8965539262371,106.665585160594,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,29.0312807844415,106.647251246294,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,重庆市綦江区精神卫生中心 病房库房定制柜采购合同,协调能力
2012,医疗仪器采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97826345901783c6f19955842?contractSign=0,2012-03-31,2021-03-17,重庆市綦江区精神卫生中心,重庆永业医疗器械有限公司,12A0239-01,12A0239,篆塘镇篆南街54号,13983149972,綦江区古南街道中山路C-34-15号,023-85898669,无抽搐电休克仪及配套,IV加强型,1.00套,495000.0000,81.500000万元,详见合同附件,公开招标,,,,2012-03-31,2021-03-17,81.5,922938.0,28.8965539262371,106.665585160594,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,29.0272162043968,106.649005802326,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,重庆市綦江区精神卫生中心 医疗仪器采购合同,协调能力
2012,计算机设备销售合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa7e85f3d2017f4d790f7c7702?contractSign=0,2012-12-15,2022-03-03,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,20220301HT(WZ)000007,,盐池县政务大厅5楼医疗保障局,0953-6012029,宁夏银川市兴庆区文化东街203号,15009608280,服务器,NF5270M5,1,34000,3.400000万元,货已供,电子卖场,,,,2012-12-15,2022-03-03,3.4,922939.0,37.7816901092461,107.399155182128,宁夏回族自治区,640000.0,吴忠市,640300.0,盐池县,640323.0,38.4664380089995,106.283626910554,宁夏回族自治区,640000.0,银川市,640100.0,兴庆区,640104.0,盐池县医疗保障局本级 计算机设备销售合同,协调能力
2012,计算机设备销售合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97e85f3d9017f4d7865ef7921?contractSign=0,2012-12-15,2022-03-03,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,20220301HT(WZ)000008,,盐池县政务大厅5楼医疗保障局,0953-6012029,宁夏银川市兴庆区文化东街203号,15009608280,笔记本电脑,ThinkStationK,1,6499,0.649900万元,货已供,电子卖场,,,,2012-12-15,2022-03-03,0.6499,922940.0,37.7816901092461,107.399155182128,宁夏回族自治区,640000.0,吴忠市,640300.0,盐池县,640323.0,38.4664380089995,106.283626910554,宁夏回族自治区,640000.0,银川市,640100.0,兴庆区,640104.0,盐池县医疗保障局本级 计算机设备销售合同,协调能力
2012,翁源县中医院发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装采购项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97fb5fd3e017fd3a467450649?contractSign=0,2012-12-22,2022-03-29,翁源县中医院,广州市九和工程有限公司,440229-2021-00457,440229-2021-00457,韶关市翁源县翁源县龙仙镇康乐路171号,0751-6840548,广东省广州市花都区秀全街永祥路9号301房至304房,020-86886669,发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装,详见合同,1.00项,11800528.08元,1180.052808万元,翁源县中医院,公开招标,,,,2012-12-22,2022-03-29,1180.052808,922941.0,24.3601936280395,114.133260575001,广东省,440000.0,韶关市,440200.0,翁源县,440229.0,23.396475349391,113.161437981815,广东省,440000.0,广州市,440100.0,花都区,440114.0,翁源县中医院 翁源县中医院发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装采购项目,协调能力
2012,昆区佳园小区北区硬化工程施工3标段,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa81504baf01815ae20a463829?contractSign=0,2012-07-15,2022-06-13,包头市昆都仑区住房和城乡建设局,包头市第二建筑工程有限责任公司,包财购备字[2022]昆区00932号,包财购备字[2022]昆区00932号,包头市昆都仑鞍山道8号,15904726658,内蒙古自治区包头市东河区环城西路路南414号,15947522992,48216,详见合同,1.0000项,48216.0000元,4.821600万元,不详,公开招标,,,,2012-07-15,2022-06-13,4.8216,922942.0,40.6200808786492,109.947592355689,内蒙古自治区,150000.0,包头市,150200.0,九原区,150207.0,40.5952290088357,110.009253273339,内蒙古自治区,150000.0,包头市,150200.0,东河区,150202.0,包头市昆都仑区住房和城乡建设局 昆区佳园小区北区硬化工程施工3标段,协调能力
2012,榆林职业技术学院林学院后勤整体选择委托管理,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa81504baf01816578c6354bdd?contractSign=0,2012-06-15,2022-06-15,榆林职业技术学院,陕西榆林绿色阳光物业管理有限公司,HT-榆林市-2022-00022,ZCSP-榆林市-2022-00607,榆林高新产业园区西环路1号,18840422013,陕西省榆林市榆阳区航宇路艺苑路127号,0912-3830398,高等教育服务,详见合同,1.0000年,1679000.0000元,167.900000万元,榆林职业技术学院,竞争性谈判,,,,2012-06-15,2022-06-15,167.9,922943.0,37.5654994915026,107.595696097916,陕西省,610000.0,榆林市,610800.0,定边县,610825.0,38.2653732381432,109.742280733278,陕西省,610000.0,榆林市,610800.0,榆阳区,610802.0,榆林职业技术学院 榆林职业技术学院林学院后勤整体选择委托管理,协调能力
2012,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a98228e086018268108abe5aa0?contractSign=0,2012-06-21,2022-08-04,汕头市龙湖区住房和城乡建设局,广东晖达工程顾问有限公司,ZX-C2022008,GDQT22-（A007）,广东省汕头市龙湖区长江路泰业大厦6楼,0754-88260734,汕头市龙湖区长平路98号百脑汇生活广场北塔楼901-904及928号房,0754-88857878,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,详见合同,1.00项,2767592.50元,276.759250万元,汕头龙湖区,竞争性磋商,,,,2012-06-21,2022-08-04,276.75925,922944.0,23.3785946501661,116.717129806197,广东省,440000.0,汕头市,440500.0,龙湖区,440507.0,23.3626601341612,116.7162716491,广东省,440000.0,汕头市,440500.0,龙湖区,440507.0,汕头市龙湖区住房和城乡建设局 汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,协调能力
2012,苍溪县非正规垃圾填埋场防渗改造项目监理服务,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a982dd08f00183645263383bfd?contractSign=0,2012-07-29,2022-09-22,广元市苍溪生态环境局,四川昌正工程咨询有限公司,N5108242022000034,N5108242022000034,四川省广元市苍溪县陵江镇解放路东段111号,15282095405,成都市高新区天府三街19号1栋1单元18层1807号,028-83204899,苍溪县非正规垃圾填埋场防渗改造项目监理服务,详见合同,1.0000项,489000.000000元,48.900000万元,不详,竞争性磋商,,,,2012-07-29,2022-09-22,48.9,922945.0,31.736439042744,105.949446151315,四川省,510000.0,广元市,510800.0,苍溪县,510824.0,30.5490272395391,104.065024985999,四川省,510000.0,成都市,510100.0,武侯区,510107.0,广元市苍溪生态环境局 苍溪县非正规垃圾填埋场防渗改造项目监理服务,协调能力
2012,潮州市潮安区储备粮管理中心修缮工程定点议价采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a983f83a3501846108bdab4899?contractSign=0,2012-11-10,2022-11-10,潮州市潮安区储备粮管理中心,广东蓝堡建设有限公司,HT-2022-02068360,DDYJ-2022-620222,广东省-潮州市-潮安区广东省潮州市潮安区潮州市潮安区安北路89号,19924861236,广园东路2193号2604,15018798152,房屋修缮,详见合同,1.001,146963.08元,15.210463万元,广东省_潮州市_潮安区,电子卖场,,,,2012-11-10,2022-11-10,15.210463,922946.0,23.4651484740614,116.673534153485,广东省,440000.0,潮州市,445100.0,潮安区,445103.0,,,,,,,,,潮州市潮安区储备粮管理中心 潮州市潮安区储备粮管理中心修缮工程定点议价采购合同,协调能力
2012,印刷服务（电话本45元*6本=270元),http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af9690184e69324745b41?contractSign=0,2012-12-06,2022-12-06,伊春市老干部服务中心,伊春市人民政府文印中心,FWHTHLJGCYC08140120221197130,249e5adfa2c74f349122185fc0e6fc70,伊春市老干部服务中心,13624587860,黑龙江省伊春市伊春区西城新区市政府大楼,15776007599,印刷服务（电话本45元*6本=270元),详见合同,1.0000份,270.0000元,0.027000万元,伊春市伊美区,电子卖场,,,,2012-12-06,2022-12-06,0.027,922947.0,47.4105007591926,129.436355975244,黑龙江省,230000.0,伊春市,230700.0,金林区,230751.0,39.9108223571379,116.359786417738,北京市,110000.0,北京市,110000.0,西城区,110102.0,伊春市老干部服务中心 印刷服务（电话本45元*6本=270元),协调能力
2012,办公设备打印机、复印机维修维护,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b0184e6934d52585d?contractSign=0,2012-12-06,2022-12-06,伊春市老干部服务中心,伊春市伊春区鑫创想电脑科技店,FWHTHLJGCYC050101Z20221197119,93c2e5a5190644b3935c133f72cbf175,伊春市老干部服务中心,13624587860,伊春区红升办永红社区警校综合楼第11户门市1-2层,17645597366,办公设备打印机、复印机维修维护,详见合同,1.0000份,3659.0000元,0.365900万元,伊春市,电子卖场,,,,2012-12-06,2022-12-06,0.3659,922948.0,47.4105007591926,129.436355975244,黑龙江省,230000.0,伊春市,230700.0,金林区,230751.0,47.72299894445,128.895709985835,黑龙江省,230000.0,伊春市,230700.0,伊美区,230717.0,伊春市老干部服务中心 办公设备打印机、复印机维修维护,协调能力
2012,男性家族排查系统建设（二期）,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af9690184e7bb21d077ee?contractSign=0,2012-10-19,2022-12-06,黑龙江省垦区公安局绥化分局,深圳华大法医科技有限公司,[230001]GZXM[CS]20220021,[230001]GZXM[CS]20220021,绥化市北林区中直北路696号,18045589806,广东省深圳市盐田区洪安三街21号,18612989247,男性家族排查系统建设（二期）,详见合同,2928.0000项,20.8000元,6.090240万元,黑龙江省绥化市北林区中直北路696号,竞争性磋商,,,,2012-10-19,2022-12-06,6.09024,922949.0,46.6621734437595,126.971474731815,黑龙江省,230000.0,绥化市,231200.0,北林区,231202.0,22.5863475136981,114.259735116792,广东省,440000.0,深圳市,440300.0,盐田区,440308.0,黑龙江省垦区公安局绥化分局 男性家族排查系统建设（二期）,合规能力
2012,1230,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af9690184ef3f51e47cdf?contractSign=0,2012-12-07,2022-12-08,大兴安岭地区市场监督管理局,加格达奇区创彩广告工作室,FWHTHLJGCYC08140120221198427,74204d4e63bb43b39df8a359ed6322ce,大兴安岭地区市场监督管理局,18845719997,加格达奇区卫东合力公寓北侧21号车库,13804847415,1230,详见合同,1.0000份,1230.0000元,0.123000万元,黑龙江政府采购网,电子卖场,,,,2012-12-07,2022-12-08,0.123,922950.0,52.3393735905108,124.716748398421,黑龙江省,230000.0,大兴安岭地区,232700.0,塔河县,232722.0,50.4260104477689,124.127114387134,黑龙江省,230000.0,大兴安岭地区,232700.0,加格达奇区,232718.0,大兴安岭地区市场监督管理局 1230,合规能力
2012,（铁财购核字[2022]01435号）房屋维修,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b0184f0c1aef138ee?contractSign=0,2012-11-11,2022-12-08,铁力市妇女联合会,铁力市景盛建筑装饰有限责任公司,FWHTHLJGCYB070101Z20221170389,f1b7daf6e7024ffeb965b6c6597cd79e,铁力市妇女联合会,18845812488,铁力市铁力镇正阳街二委隆兴木业有限公司综合楼1层西3户,15904588622,房屋维修,详见合同,1.0000份,7000.0000元,0.700000万元,网上,电子卖场,,,,2012-11-11,2022-12-08,0.7,922951.0,46.9843364241339,128.025129880006,黑龙江省,230000.0,伊春市,230700.0,铁力市,230781.0,46.9828808018989,128.03120886477,黑龙江省,230000.0,伊春市,230700.0,铁力市,230781.0,铁力市妇女联合会 （铁财购核字[2022]01435号）房屋维修,协调能力
2012,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b0184f0a5a53d3220?contractSign=0,2012-12-08,2022-12-08,漠河市阳光社区卫生服务中心,漠河县老六汽车修理部,FWHTHLJGCYC05030120221200101,9fc28cbe3fb84fffa4f319351df9f76e,漠河市阳光社区卫生服务中心,18645721122,黑龙江省大兴安岭地区漠河县西林吉镇38区,13846569213,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,详见合同,1.0000份,4504.8000元,0.450480万元,黑龙江省大兴安岭地区漠河市西林吉镇北极路8号,电子卖场,,,,2012-12-08,2022-12-08,0.45048,922952.0,52.9751001049998,122.525452347426,黑龙江省,230000.0,大兴安岭地区,232700.0,漠河市,232701.0,52.9681597317873,122.532285351845,黑龙江省,230000.0,大兴安岭地区,232700.0,漠河市,232701.0,漠河市阳光社区卫生服务中心 关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,协调能力
2012,印刷宣传品,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af9690184f13cbfca573d?contractSign=0,2012-12-08,2022-12-08,哈尔滨市香坊区消防救援大队,哈尔滨好物驾稻电子商务有限公司,FWHTHLJGCYC08140120221199767,ddef0de4f7bd4c6e97a4001f47b696f4,哈尔滨市香坊区消防救援大队,15945665037,哈尔滨市香坊区松海路90号澜悦东方小区1栋1单元4层4号（公寓）,18646014081,印刷宣传品,详见合同,1.0000份,70540.0000元,7.054000万元,哈尔滨市香坊区和祥路136号,电子卖场,,,,2012-12-08,2022-12-08,7.054,922953.0,45.729412195931,126.651155468784,黑龙江省,230000.0,哈尔滨市,230100.0,香坊区,230110.0,45.6974282267368,126.671329465391,黑龙江省,230000.0,哈尔滨市,230100.0,香坊区,230110.0,哈尔滨市香坊区消防救援大队 印刷宣传品,协调能力
2012,条幅、宣传单,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af9690185046547e65126?contractSign=0,2012-12-07,2022-12-12,黑河市爱辉区林业和草原局,黑河市远大广告有限责任公司,FWHTHLJGCYC080601Z20221199482,374a3e4de3694bbbadbb9de05f6cbdbb,黑河市爱辉区林业和草原局,13763699168,黑龙江省黑河市爱辉区兴华街30号,15046988099,条幅、宣传单,详见合同,1.0000份,6800.0000元,0.680000万元,双方合同签订后自动生成,电子卖场,,,,2012-12-07,2022-12-12,0.68,922954.0,50.2406045983451,127.518832290754,黑龙江省,230000.0,黑河市,231100.0,爱辉区,231102.0,50.2472340640413,127.484377401596,黑龙江省,230000.0,黑河市,231100.0,爱辉区,231102.0,黑河市爱辉区林业和草原局 条幅、宣传单,协调能力
2012,改造车库项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b01850524c5c46674?contractSign=0,2012-12-12,2022-12-12,铁力市林业和草原局,黑龙江省博涛建筑装饰有限公司,FWHTHLJGCYB019901Z20221199180,acea1ae5248f4baeab2bbd33390640a3,铁力市林业和草原局,13904580049,铁力镇愿景家园小区A2号楼一层19号车库,13846646881,50000,详见合同,1.0000份,49783.6100元,4.978361万元,线上签订,电子卖场,,,,2012-12-12,2022-12-12,4.978361,922955.0,46.9838544297684,128.035480978297,黑龙江省,230000.0,伊春市,230700.0,铁力市,230781.0,46.9770214522545,128.023800184169,黑龙江省,230000.0,伊春市,230700.0,铁力市,230781.0,铁力市林业和草原局 改造车库项目,协调能力
