年份,合同名称,主要标的名称,采购人,供应商,所属行业,合同金额num_万元,capacity_label,label_confidence,label_reason
2012,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,漠河市阳光社区卫生服务中心,漠河县老六汽车修理部,,0.45048,coordination,0.4444444444444444,"关键词匹配(E:0,C:4,P:4)"
2012,印刷宣传品,印刷宣传品,哈尔滨市香坊区消防救援大队,哈尔滨好物驾稻电子商务有限公司,,7.054,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,条幅、宣传单,条幅、宣传单,黑河市爱辉区林业和草原局,黑河市远大广告有限责任公司,,0.68,coordination,0.1,默认分类（通用政府采购）
2012,改造车库项目,50000,铁力市林业和草原局,黑龙江省博涛建筑装饰有限公司,,4.978361,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,逊河镇大公河村清淤修路项目,清淤修路项目,逊克县逊河镇大公河村民委员会,黑龙江省中都建筑工程有限公司,,26.311732,coordination,0.1,默认分类（通用政府采购）
2012,表格印刷,表格印刷,大庆市大同区统计局,大庆市大同区继英印务牌匾制作室,,1.35,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,博物馆可移动文物监理费,博物馆可移动文物监理费,泰来县图书馆,沈阳爱乐盟工程顾问有限公司,,1.48,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,审查调查实务手册,审查调查实务手册,中国共产党南岔县纪律检查委员会、南岔县监察委员会,伊春市人民政府文印中心,,0.075,coordination,0.1,默认分类（通用政府采购）
2012,会议记录薄,会议记录薄,大庆市大同区总工会,大庆市鸿鑫印刷有限公司,,0.144,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,招商资料印刷,招商资料印刷,哈尔滨市文化广电和旅游局,哈尔滨华焱印务有限公司,,9.0,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,印刷服务,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,,1.365,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,印刷服务,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,,1.0555,coordination,0.5,"关键词匹配(E:0,C:2,P:1)"
2012,2022年度养护业务车辆维修服务,2022年度养护业务车辆维修服务,同江市农村公路养护中心,同江市文忠修理部,,9.501,coordination,0.8,"关键词匹配(E:0,C:4,P:0)"
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2012,重竞技运动管理中心改扩建项目一期工程,重竞技运动管理中心改扩建工程一期项目,黑龙江省重竞技运动管理中心,北京建工博海建设有限公司,,310.32524,coordination,0.5714285714285714,"关键词匹配(E:0,C:4,P:2)"
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2012,后勤处烘干机质保金退回,厨房操作台,东北农业大学,天津蝶桥厨房设备有限公司,,0.315,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2012,新校区学生公寓楼建设合同,新校区学生公寓楼建设,晋中学院,山西安华建设工程有限公司,,,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:0)"
2012,建设工程施工合同-山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,山西传媒学院,山西六建集团有限公司,,,coordination,0.875,"关键词匹配(E:0,C:7,P:0)"
2012,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,山西传媒学院,山西建设投资集团有限公司,,,coordination,0.5714285714285714,"关键词匹配(E:0,C:4,P:2)"
2013,渭源县人民医院医疗设备采购项目供货合同(第二包）,,渭源县人民医院,供应商名称,农业,216.0,compliance,0.5,"关键词匹配(E:0,C:1,P:2)"
2013,高分水利业务示范应用平台开发,,水利部水利信息中心,北京航天宏图信息技术有限责任公司,水利、环境和公共设施管理业,236.0,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,皋兰县第一中学等五所学校装配三机位高清录播教室项目供货合同,,皋兰县教育局,供应商名称,农业,208.9885,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
2013,甘肃省监狱管理局定西监狱“四防一体”及安防设施采购项目合同书,,甘肃省监狱管理局,甘肃博兴建设工程有限公司,信息传输、软件和信息技术服务业,411.0,coordination,0.6,"关键词匹配(E:0,C:1,P:1)"
2013,安徽科技学院图书采购,,安徽科技学院,安徽时代出版发行有限公司,农、林、牧、渔业,40.0,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2013,兰州站广场及大桥照明设施维修政府采购项目合同,,甘肃省兰州高速公路管理处,甘肃紫光智能交通与控制技术有限公司,交通运输、仓储和邮政业,30.8,coordination,0.75,"关键词匹配(E:0,C:1,P:0)"
2013,普陀区2013年未纳管污染源改造工程（二标段）施工总承包合同,,上海市普陀区市政管理中心,上海惠丰置业有限公司,暂无,1077.6457,coordination,0.6,"关键词匹配(E:0,C:3,P:1)"
2013,办公笔记本合同,,九龙坡区走马镇中学,重庆拓渠科贸有限公司,普通初中教育,0.49,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,销售合同,,重庆市中西医结合康复医院,奥托博克中国工业有限公司,其他未列明零售业,4.675,coordination,0.1,默认分类（通用政府采购）
2013,甘肃省中医院停车场车辆进出口道闸免取卡收费系统政府采购项目合同,,甘肃省中医院,甘肃玛斯博诺电子科技有限公司,信息传输、软件和信息技术服务业,34.178,coordination,0.5,"关键词匹配(E:1,C:1,P:1)"
2013,浦东新区郊区生活垃圾清运合同,,上海市浦东新区废弃物管理中心,上海浦东东道远综合养护有限公司,暂无,9093.27,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2013,海洋地球物理数据可视化3维立体展示系统软件合同,,国家海洋局第二海洋研究所,上海地海仪器有限公司,科学研究和技术服务业,12.96,coordination,0.1,默认分类（通用政府采购）
2013,采购帧同步器进机卡、HPML350pR08服务器、系统应用软件项目合同,,国家海洋局第二海洋研究所,陕西全和物资机电设备有限责任公司,科学研究和技术服务业,45.95,coordination,0.1,默认分类（通用政府采购）
2013,中国人口宣传教育中心媒体资产管理信息系统项目政府采购合同,,中国人口宣传教育中心,北京捷成世纪科技股份有限公司,卫生和社会工作,479.2,compliance,0.5,"关键词匹配(E:1,C:1,P:1)"
2013,设备安装合同,,北碚区疾控中心,成都瑞洁思环境项目有限公司,疾病预防控制中心,34.98,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,射线防护制品合同书,,北碚区疾控中心,重庆信远射线防护设备有限公司,疾病预防控制中心,3.9288,coordination,0.1,默认分类（通用政府采购）
2013,仪器设备购销合同,,北碚区疾控中心,重庆康吉医疗器械有限公司,疾病预防控制中心,3.8,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,仪器设备购销合同,,北碚区疾控中心,重庆通品科技有限公司,疾病预防控制中心,9.9,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,北碚区政府采购货物购销合同,,北碚区疾控中心,重庆迈克科技公司,疾病预防控制中心,53.5,coordination,0.1,默认分类（通用政府采购）
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆裕捷科技有限公司,疾病预防控制中心,6.385,coordination,0.1,默认分类（通用政府采购）
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆裕捷科技有限公司,疾病预防控制中心,6.135,coordination,0.1,默认分类（通用政府采购）
2013,仪器设备购销合同,,北碚区疾控中心,重庆沐森医疗器械有限公司,疾病预防控制中心,4.1,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,采购合同,,北碚区疾控中心,重庆伟琅电脑经营部,疾病预防控制中心,2.7019,coordination,0.1,默认分类（通用政府采购）
2013,重庆市政府采购货物购销合同,,北碚区疾控中心,重庆市超之杰商贸有限公司,疾病预防控制中心,3.40875,coordination,0.1,默认分类（通用政府采购）
2013,仪器设备购销合同,,北碚区疾控中心,成都鑫鑫泰实业有限公司,疾病预防控制中心,9.5,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,实验室设备采购合同,,北碚区疾控中心,上海中增科教设备有限公司,疾病预防控制中心,54.6309,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2013,仪器设备购销合同,,北碚区疾控中心,重庆铱标科技有限公司,疾病预防控制中心,6.5,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆天朝数码科技有限公司,疾病预防控制中心,4.681,coordination,0.1,默认分类（通用政府采购）
2013,建设工程委托监理合同,,北碚区疾控中心,重庆市宏都建设工程监理有限公司,疾病预防控制中心,3.3,coordination,0.75,"关键词匹配(E:0,C:3,P:0)"
2013,秦安县文化广播影视局“送戏下乡”演出服务项目竞争性磋商招标公告,,秦安县文化广播影视局,秦安县文化演出有限公司,文艺创作与表演,30.992,coordination,0.1,默认分类（通用政府采购）
2013,普陀区生态专项建设工程Ⅲ标施工,,上海市普陀区绿化和市容管理局,上海普陀区园林建设综合开发有限公司,暂无,660.8344,coordination,0.75,"关键词匹配(E:0,C:3,P:0)"
2013,采访话筒购买合同,,重庆市九龙坡区西彭园区实验小学校,重庆明耀办公用品有限公司,其他文化用品零售,0.12,coordination,0.1,默认分类（通用政府采购）
2013,激光笔购买合同,,重庆市九龙坡区西彭园区实验小学校,重庆明耀办公用品有限公司,其他文化用品零售,0.306,coordination,0.1,默认分类（通用政府采购）
2013,重庆市政府采购货物购销合同,,重庆市九龙坡区西彭园区实验小学校,重庆拓展电子有限公司,计算机、软件及辅助设备零售,0.392,coordination,0.1,默认分类（通用政府采购）
2013,采购斯柯达昊锐1.4t小轿车,,九龙坡区房屋管理局,重庆高新璟锐汽车有限公司,汽车零售,14.98,coordination,0.1,默认分类（通用政府采购）
2013,九龙坡区房管局石桥铺房管所采购斯柯达昊锐1.4t小轿车,,九龙坡区房屋管理局,重庆高新璟锐汽车有限公司,汽车零售,14.98,coordination,0.1,默认分类（通用政府采购）
2013,征收中心维修办公室等合同,,九龙坡区房屋管理局,重庆唐风装饰有限公司,建筑装饰业,2.72,coordination,0.5,"关键词匹配(E:1,C:2,P:0)"
2013,重庆市九龙坡区档案局爱国主义教育基地软件制作合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.399,coordination,0.6,"关键词匹配(E:0,C:1,P:1)"
2013,重庆市九龙坡区档案局爱国主义教育基地多媒体设备采购合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.5156,coordination,0.5714285714285714,"关键词匹配(E:0,C:2,P:2)"
2013,九龙坡区房管局所需车辆采购合同,,九龙坡区房屋管理局,重庆龙华实业集团众华汽车销售服务有限公司,汽车零售,24.67,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,重庆市九龙坡区档案局爱国主义教育基地项目工程合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,18.95416,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:1)"
2013,大修施工合同,,九龙坡区档案局,武汉浩坤建设有限公司,其他未列明建筑业,18.21,coordination,0.75,"关键词匹配(E:0,C:1,P:0)"
2013,汽车销售合同,,九龙坡区档案局,重庆商社汽车贸易有限公司飞跃分公司,其他道路运输辅助活动,14.98,coordination,0.1,默认分类（通用政府采购）
2013,重庆市九龙坡区档案局爱国主义教育基地灯饰工程合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.32744,coordination,0.6666666666666666,"关键词匹配(E:0,C:2,P:1)"
2013,热水系统,,重庆铁路中学,重庆同泽冷暖设备有限公司,热力生产和供应,92.0,coordination,0.1,默认分类（通用政府采购）
2013,13A1034项目合同,,重庆铁路中学,重庆四通都成科技发展有限公司,信息系统集成服务,506.133489,coordination,0.1,默认分类（通用政府采购）
2013,材料采购合同,,石桥铺街道社区卫生服务中心,重庆顺合电子科技有限公司,卫生和社会工作,18.3,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆市义茂利制冷设备有限公司,中等职业学校教育,63.5002,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,电（扶）梯购销安装,,九龙坡区职业教育中心(中梁山矿务学校),重庆东森电梯有限公司,中等职业学校教育,17.2,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆市义茂利制冷设备有限公司,中等职业学校教育,3.6501,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,数控车床维修平台,,九龙坡区职业教育中心(中梁山矿务学校),浙江天煌科技实业有限公司,中等职业学校教育,79.83,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,电梯设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆东森电梯有限公司,中等职业学校教育,59.3,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,九龙坡区实验幼儿园采购绞切机合同,,九龙坡区实验幼儿园,重庆康益酒店设备有限公司,日用家电设备零售,0.445,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2013,九龙坡区实验幼儿园定制画册合同,,九龙坡区实验幼儿园,重庆智睿图文设计有限公司,其他出版业,2.87,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2013,九龙坡区实验幼儿园采购户外音响设备合同,,九龙坡区实验幼儿园,渝中区锐声音响设备商行,音响设备制造,2.09,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2013,汽车设备等竞争性谈判,,九龙坡区职业教育中心(中梁山矿务学校),重庆国利汽车维修设备有限公司,中等职业学校教育,64.38,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,会计软件,,九龙坡区职业教育中心(中梁山矿务学校),广州市福思特科技有限公司,中等职业学校教育,18.0,compliance,0.5,"关键词匹配(E:1,C:0,P:0)"
2013,冷暖柜机,,九龙坡区职业教育中心(中梁山矿务学校),重庆腾丰电器有限公司,中等职业学校教育,7.527,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,印刷机,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,1.7,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,监控设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆南电科技有限公司,中等职业学校教育,28.3,compliance,0.6,"关键词匹配(E:0,C:1,P:1)"
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆佳古格力电器设备销售有限公司,中等职业学校教育,53.9172,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,IP广播设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆四通都成科技发展有限公司,中等职业学校教育,67.158,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,机房设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆鑫满科技发展有限公司,中等职业学校教育,99.8,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,机电设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆英卡机电设备有限公司,中等职业学校教育,72.0,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,学生课桌椅,,九龙坡区职业教育中心(中梁山矿务学校),重庆市林宝家具有限公司,中等职业学校教育,12.48,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,办公桌凳柜,,九龙坡区职业教育中心(中梁山矿务学校),重庆市正萌教学设备有限公司,中等职业学校教育,2.317,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,数控软件,,九龙坡区职业教育中心(中梁山矿务学校),上海宇龙软件工程有限公司,中等职业学校教育,7.9,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,电脑机房设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆朗帝动利科技发展有限公司,中等职业学校教育,14.914,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,电脑设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆骏派商贸有限公司,中等职业学校教育,260.985,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,音箱设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,24.7929,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,汽车运用与维修专业设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆韬益商贸有限责任公司,中等职业学校教育,25.0,coordination,0.4,"关键词匹配(E:0,C:2,P:0)"
2013,音响设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,24.7929,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,会议桌椅,,九龙坡区职业教育中心(中梁山矿务学校),重庆市正萌教学设备有限公司,中等职业学校教育,3.0,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,T3教学软件,,九龙坡区职业教育中心(中梁山矿务学校),重庆松涛科技有限公司,中等职业学校教育,4.5,compliance,0.75,"关键词匹配(E:0,C:0,P:1)"
2013,购销合同,,区驿都实验学校(区白市驿镇一小),重庆金田厨具工程有限公司,金属制厨房用器具制造,2.0,coordination,0.1,默认分类（通用政府采购）
2013,重庆市政府采购货物购销合同,,区驿都实验学校(区白市驿镇一小),重庆高锦方联科技有限公司(黄亮-86155929-...,其他电子设备制造,0.314,coordination,0.1,默认分类（通用政府采购）
2013,课桌凳,,九龙坡区和平小学,重庆市正萌教学设备有限公司,普通小学教育,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,空调购买,,九龙坡区和平小学,重庆同联机电设备安装工程有限公司,普通小学教育,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,阅览室家具,,九龙坡区和平小学,重庆市澜林教学设备有限公司,普通小学教育,,compliance,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,含谷小学合唱台采购合同,,九龙坡区含谷镇小学,东莞市万江龙飞舞台设备厂,普通小学教育,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,含谷小学课桌椅采购合同,,九龙坡区含谷镇小学,重庆鑫茂教学设备有限公司,普通小学教育,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,华龙家园、华福家园廉租房智能化系统（含监控、停车场、门禁系统）合同,,九龙坡区房屋管理局,重庆祥腾科技发展有限公司,计算机、软件及辅助设备零售,54.8,compliance,0.5,"关键词匹配(E:0,C:0,P:1)"
2013,课桌凳采购,,重庆市人和中学（重庆电机厂子弟学校）,重庆聚宝教学设备有限公司,家具制造业,9.7,coordination,0.1,默认分类（通用政府采购）
2013,音响,,中共重庆市九龙坡区委老干部局,渝中区锐声音响设备商行,音响设备制造,0.75,coordination,0.1,默认分类（通用政府采购）
2013,课桌凳,,九龙坡区新凤小学校,江津区几江云辉丽都剑桥家具厂,普通小学教育,4.8,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,重庆市政府采购购销合同,,重庆市渝西中学,重庆东洋锅炉有限公司,其他未列明餐饮业,,coordination,0.1,默认分类（通用政府采购）
2013,合同,,九龙坡区共和小学,成都南方家俱有限公司,制造业,0.17,coordination,0.1,默认分类（通用政府采购）
2013,合同,,九龙坡区共和小学,沙坪坝区森达家具厂,木质家具制造,1.288,coordination,0.1,默认分类（通用政府采购）
2013,国家统计局浦城调查队尼康D7000套机(18-105mm)采购合同,,国家统计局浦城调查队,广州市恒锵数码产品有限公司,公共管理、社会保障和社会组织,,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:0)"
2013,二圣镇中心学校食堂和门卫室电改造合同,,二圣中心学校,重庆西江建设（集团）有限公司,建筑业,2.99,coordination,0.6,"关键词匹配(E:0,C:1,P:1)"
2013,北碚区华光小学图书采购合同,,重庆市北碚区华光小学,重庆新华传媒有限公司北碚新华书店,教育,2.49339,compliance,0.75,"关键词匹配(E:0,C:0,P:1)"
2013,采购电脑,,兰桥镇,秀山柯龙数码科技有限公司,计算机、软件及辅助设备零售,0.856,coordination,0.1,默认分类（通用政府采购）
2013,教室、实验室、功能室设备追加,,重庆市北碚区状元小学,重庆商社信息科技有限公司,制造业,2.932,coordination,0.3333333333333333,"关键词匹配(E:0,C:1,P:1)"
2013,采购离子色谱仪,,重庆市北碚区疾控中心,重庆迈克科技公司,制造业,53.5,coordination,0.1,默认分类（通用政府采购）
2013,重庆市北碚区云政务(一期)项目监理,,重庆市北碚区信息中心,重庆联盛建设项目管理有限公司,居民服务、修理和其他服务业,26.9,coordination,0.5,"关键词匹配(E:0,C:1,P:0)"
2013,全区体育健身路径维护,,九龙坡区体育局,重庆广亚体育设备制造有限公司,居民服务、修理和其他服务业,19.59,compliance,0.6666666666666666,"关键词匹配(E:0,C:0,P:2)"
