年份,序号,采购人,合同名称,ML预测,Claude判断,一致
2012,40,哈尔滨市文化广电和旅游局,招商资料印刷,协调能力,协调能力,✓
2012,41,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,协调能力,协调能力,✓
2012,42,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,协调能力,协调能力,✓
2012,43,同江市农村公路养护中心,2022年度养护业务车辆维修服务,协调能力,协调能力,✓
2012,44,合肥市生活废弃物管理中心,合肥市生活垃圾焚烧发电厂特许经营项目,协调能力,协调能力,✓
2012,45,黑龙江省重竞技运动管理中心,重竞技运动管理中心改扩建项目一期工程,协调能力,协调能力,✓
2012,46,合肥市生活废弃物管理中心,合肥市生活垃圾焚烧发电厂特许经营项目,协调能力,协调能力,✓
2012,47,合肥市生活废弃物管理中心,合肥市生活垃圾焚烧发电厂特许经营项目,协调能力,协调能力,✓
2012,48,东北农业大学,后勤处烘干机质保金退回,协调能力,协调能力,✓
2012,49,晋中学院,新校区学生公寓楼建设合同,协调能力,协调能力,✓
2012,50,山西传媒学院,建设工程施工合同-山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,协调能力,协调能力,✓
2012,51,山西传媒学院,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,协调能力,协调能力,✓
2013,1,渭源县人民医院,渭源县人民医院医疗设备采购项目供货合同(第二包）,协调能力,协调能力,✓
2013,2,水利部水利信息中心,高分水利业务示范应用平台开发,协调能力,协调能力,✓
2013,3,皋兰县教育局,皋兰县第一中学等五所学校装配三机位高清录播教室项目供货合同,协调能力,协调能力,✓
2013,4,甘肃省监狱管理局,甘肃省监狱管理局定西监狱“四防一体”及安防设施采购项目合同书,合规能力,合规能力,✓
2013,5,安徽科技学院,安徽科技学院图书采购,协调能力,协调能力,✓
2013,6,甘肃省兰州高速公路管理处,兰州站广场及大桥照明设施维修政府采购项目合同,协调能力,协调能力,✓
2013,7,上海市普陀区市政管理中心,普陀区2013年未纳管污染源改造工程（二标段）施工总承包合同,协调能力,协调能力,✓
2013,8,九龙坡区走马镇中学,办公笔记本合同,协调能力,协调能力,✓
2013,9,重庆市中西医结合康复医院,销售合同,协调能力,协调能力,✓
2013,10,甘肃省中医院,甘肃省中医院停车场车辆进出口道闸免取卡收费系统政府采购项目合同,协调能力,协调能力,✓
2013,11,上海市浦东新区废弃物管理中心,浦东新区郊区生活垃圾清运合同,协调能力,协调能力,✓
2013,12,国家海洋局第二海洋研究所,海洋地球物理数据可视化3维立体展示系统软件合同,协调能力,协调能力,✓
2013,13,国家海洋局第二海洋研究所,采购帧同步器进机卡、HPML350pR08服务器、系统应用软件项目合同,协调能力,协调能力,✓
2013,14,中国人口宣传教育中心,中国人口宣传教育中心媒体资产管理信息系统项目政府采购合同,协调能力,协调能力,✓
2013,15,北碚区疾控中心,设备安装合同,协调能力,协调能力,✓
2013,16,北碚区疾控中心,射线防护制品合同书,协调能力,协调能力,✓
2013,17,北碚区疾控中心,仪器设备购销合同,协调能力,协调能力,✓
2013,18,北碚区疾控中心,仪器设备购销合同,协调能力,协调能力,✓
2013,19,北碚区疾控中心,北碚区政府采购货物购销合同,协调能力,协调能力,✓
2013,20,北碚区疾控中心,北碚区政府货物采购购销合同,协调能力,协调能力,✓
2013,21,北碚区疾控中心,北碚区政府货物采购购销合同,协调能力,协调能力,✓
2013,22,北碚区疾控中心,仪器设备购销合同,协调能力,协调能力,✓
2013,23,北碚区疾控中心,采购合同,协调能力,协调能力,✓
2013,24,北碚区疾控中心,重庆市政府采购货物购销合同,协调能力,协调能力,✓
2013,25,北碚区疾控中心,仪器设备购销合同,协调能力,协调能力,✓
2013,26,北碚区疾控中心,实验室设备采购合同,协调能力,协调能力,✓
2013,27,北碚区疾控中心,仪器设备购销合同,协调能力,协调能力,✓
2013,28,北碚区疾控中心,北碚区政府货物采购购销合同,协调能力,协调能力,✓
2013,29,北碚区疾控中心,建设工程委托监理合同,协调能力,协调能力,✓
2013,30,秦安县文化广播影视局,秦安县文化广播影视局“送戏下乡”演出服务项目竞争性磋商招标公告,协调能力,协调能力,✓
2013,31,上海市普陀区绿化和市容管理局,普陀区生态专项建设工程Ⅲ标施工,协调能力,协调能力,✓
2013,32,重庆市九龙坡区西彭园区实验小学校,采访话筒购买合同,协调能力,协调能力,✓
2013,33,重庆市九龙坡区西彭园区实验小学校,激光笔购买合同,协调能力,协调能力,✓
2013,34,重庆市九龙坡区西彭园区实验小学校,重庆市政府采购货物购销合同,协调能力,协调能力,✓
2013,35,九龙坡区房屋管理局,采购斯柯达昊锐1.4t小轿车,协调能力,协调能力,✓
2013,36,九龙坡区房屋管理局,九龙坡区房管局石桥铺房管所采购斯柯达昊锐1.4t小轿车,协调能力,协调能力,✓
2013,37,九龙坡区房屋管理局,征收中心维修办公室等合同,协调能力,协调能力,✓
2013,38,九龙坡区档案局,重庆市九龙坡区档案局爱国主义教育基地软件制作合同,协调能力,协调能力,✓
2013,39,九龙坡区档案局,重庆市九龙坡区档案局爱国主义教育基地多媒体设备采购合同,协调能力,协调能力,✓
2013,40,九龙坡区房屋管理局,九龙坡区房管局所需车辆采购合同,协调能力,协调能力,✓
2013,41,九龙坡区档案局,重庆市九龙坡区档案局爱国主义教育基地项目工程合同,协调能力,协调能力,✓
2013,42,九龙坡区档案局,大修施工合同,协调能力,协调能力,✓
2013,43,九龙坡区档案局,汽车销售合同,协调能力,协调能力,✓
2013,44,九龙坡区档案局,重庆市九龙坡区档案局爱国主义教育基地灯饰工程合同,协调能力,协调能力,✓
2013,45,重庆铁路中学,热水系统,协调能力,协调能力,✓
2013,46,重庆铁路中学,13A1034项目合同,协调能力,协调能力,✓
2013,47,石桥铺街道社区卫生服务中心,材料采购合同,协调能力,协调能力,✓
2013,48,九龙坡区职业教育中心(中梁山矿务学校),格力空调,协调能力,协调能力,✓
2013,49,九龙坡区职业教育中心(中梁山矿务学校),电（扶）梯购销安装,协调能力,协调能力,✓
2013,50,九龙坡区职业教育中心(中梁山矿务学校),格力空调,协调能力,协调能力,✓
2013,51,九龙坡区职业教育中心(中梁山矿务学校),数控车床维修平台,协调能力,协调能力,✓
2013,52,九龙坡区职业教育中心(中梁山矿务学校),电梯设备,协调能力,协调能力,✓
2013,53,九龙坡区实验幼儿园,九龙坡区实验幼儿园采购绞切机合同,协调能力,协调能力,✓
2013,54,九龙坡区实验幼儿园,九龙坡区实验幼儿园定制画册合同,协调能力,协调能力,✓
2013,55,九龙坡区实验幼儿园,九龙坡区实验幼儿园采购户外音响设备合同,协调能力,协调能力,✓
2013,56,九龙坡区职业教育中心(中梁山矿务学校),汽车设备等竞争性谈判,协调能力,协调能力,✓
2013,57,九龙坡区职业教育中心(中梁山矿务学校),会计软件,协调能力,协调能力,✓
2013,58,九龙坡区职业教育中心(中梁山矿务学校),冷暖柜机,协调能力,协调能力,✓
2013,59,九龙坡区职业教育中心(中梁山矿务学校),印刷机,协调能力,协调能力,✓
2013,60,九龙坡区职业教育中心(中梁山矿务学校),监控设备,协调能力,协调能力,✓
2013,61,九龙坡区职业教育中心(中梁山矿务学校),格力空调,协调能力,协调能力,✓
2013,62,九龙坡区职业教育中心(中梁山矿务学校),IP广播设备,协调能力,协调能力,✓
2013,63,九龙坡区职业教育中心(中梁山矿务学校),机房设备,协调能力,协调能力,✓
2013,64,九龙坡区职业教育中心(中梁山矿务学校),机电设备,协调能力,协调能力,✓
2013,65,九龙坡区职业教育中心(中梁山矿务学校),学生课桌椅,协调能力,协调能力,✓
2013,66,九龙坡区职业教育中心(中梁山矿务学校),办公桌凳柜,协调能力,协调能力,✓
2013,67,九龙坡区职业教育中心(中梁山矿务学校),数控软件,协调能力,协调能力,✓
2013,68,九龙坡区职业教育中心(中梁山矿务学校),电脑机房设备,协调能力,协调能力,✓
2013,69,九龙坡区职业教育中心(中梁山矿务学校),电脑设备,协调能力,协调能力,✓
2013,70,九龙坡区职业教育中心(中梁山矿务学校),音箱设备,协调能力,协调能力,✓
2013,71,九龙坡区职业教育中心(中梁山矿务学校),汽车运用与维修专业设备,协调能力,协调能力,✓
2013,72,九龙坡区职业教育中心(中梁山矿务学校),音响设备,协调能力,协调能力,✓
2013,73,九龙坡区职业教育中心(中梁山矿务学校),会议桌椅,协调能力,协调能力,✓
2013,74,九龙坡区职业教育中心(中梁山矿务学校),T3教学软件,协调能力,协调能力,✓
2013,75,区驿都实验学校(区白市驿镇一小),购销合同,协调能力,协调能力,✓
2013,76,区驿都实验学校(区白市驿镇一小),重庆市政府采购货物购销合同,协调能力,协调能力,✓
2013,77,九龙坡区和平小学,课桌凳,协调能力,协调能力,✓
2013,78,九龙坡区和平小学,空调购买,协调能力,协调能力,✓
2013,79,九龙坡区和平小学,阅览室家具,协调能力,协调能力,✓
2013,80,九龙坡区含谷镇小学,含谷小学合唱台采购合同,协调能力,协调能力,✓
2013,81,九龙坡区含谷镇小学,含谷小学课桌椅采购合同,协调能力,协调能力,✓
2013,82,九龙坡区房屋管理局,华龙家园、华福家园廉租房智能化系统（含监控、停车场、门禁系统）合同,协调能力,协调能力,✓
2013,83,重庆市人和中学（重庆电机厂子弟学校）,课桌凳采购,协调能力,协调能力,✓
2013,84,中共重庆市九龙坡区委老干部局,音响,协调能力,协调能力,✓
2013,85,九龙坡区新凤小学校,课桌凳,协调能力,协调能力,✓
2013,86,重庆市渝西中学,重庆市政府采购购销合同,协调能力,协调能力,✓
2013,87,九龙坡区共和小学,合同,协调能力,协调能力,✓
2013,88,九龙坡区共和小学,合同,协调能力,协调能力,✓
2013,89,国家统计局浦城调查队,国家统计局浦城调查队尼康D7000套机(18-105mm)采购合同,提取能力,提取能力,✓
2013,90,二圣中心学校,二圣镇中心学校食堂和门卫室电改造合同,协调能力,协调能力,✓
2013,91,重庆市北碚区华光小学,北碚区华光小学图书采购合同,协调能力,协调能力,✓
2013,92,兰桥镇,采购电脑,协调能力,协调能力,✓
2013,93,重庆市北碚区状元小学,教室、实验室、功能室设备追加,协调能力,协调能力,✓
2013,94,重庆市北碚区疾控中心,采购离子色谱仪,协调能力,协调能力,✓
2013,95,重庆市北碚区信息中心,重庆市北碚区云政务(一期)项目监理,协调能力,协调能力,✓
2013,96,九龙坡区体育局,全区体育健身路径维护,协调能力,协调能力,✓
2013,97,重庆市九龙坡区卫生健康综合行政执法支队,公共场所创卫物资采购,合规能力,合规能力,✓
2013,98,重庆市九龙坡区人民医院,C区电力增容,协调能力,协调能力,✓
2013,99,重庆市九龙坡区人民医院,电消毒锅,协调能力,协调能力,✓
2013,100,九龙坡区体育局,全区体育健身器材采购,协调能力,协调能力,✓
2013,101,重庆市九龙坡区卫生健康综合行政执法支队,传染病防治创卫物资采购,合规能力,合规能力,✓
2013,102,九龙坡区体育局,全区体育健身路径维护,协调能力,协调能力,✓
2013,103,重庆市綦江区教育信息技术与装备中心,完善国家农村义务教育薄弱学校改造市级项目“班班通”教室采购合同,协调能力,协调能力,✓
2013,104,重庆市荣昌区环境保护局,环境应急设备采购合同,协调能力,合规能力,✗
2013,105,重庆市万盛经济技术开发区水务局,大湾电站增效扩容改造采购合同,协调能力,协调能力,✓
2013,106,黑龙江中医药大学,博物馆布展装饰工程,协调能力,协调能力,✓
2013,107,和田地区生态环境局墨玉县分局,和田地区墨玉县城镇垃圾收集清运系统建设项目的合同,协调能力,合规能力,✗
2013,108,鹤岗市南山区住房和建设局,1,协调能力,协调能力,✓
2013,109,包头市昆都仑区教育局,团结幼儿园新光幼儿园建设项目监理,协调能力,协调能力,✓
2013,110,浦城县图书馆,浦城县梦笔喜马拉雅有声图书馆（浦城县全民阅读城市书房二期）项目,协调能力,协调能力,✓
2013,111,四川省农业科学院遥感与数字农业研究所,公务用车定点加油情况说明,协调能力,协调能力,✓
2013,112,科尔沁左翼中旗政务服务局,科左中旗政务服务中心聘用第三方专业机构服务,协调能力,协调能力,✓
2013,113,霍林郭勒市达来胡硕苏木,河日木特村现代化养牛及棚舍建设养殖项目,协调能力,协调能力,✓
2013,114,江门市公安局,江门市公安局视频综合应用平台建设合同（补录）,合规能力,合规能力,✓
2013,115,晋中学院,晋中学院新校区施工合同,协调能力,协调能力,✓
2013,116,佛山市南海区医院管理中心,佛山市南海区医院管理中心互联网接入服务定点议价采购合同,协调能力,协调能力,✓
2013,117,广东省惠州市博罗县龙华镇卫生院,广东省惠州市博罗县龙华镇卫生院审计服务定点议价采购合同,协调能力,协调能力,✓
2013,118,太原理工大学,太原理工大学新校区图书馆主体施工工程,协调能力,协调能力,✓
2013,119,兰州市外国语高级中学,兰州市外国语高级中学2023年学校物业服务采购项目,协调能力,协调能力,✓
2013,120,乐山市公路建设服务中心,乐山市公路应急抢险中心改造项目,协调能力,协调能力,✓
2013,121,石棉县永和乡人民政府,采购合同,协调能力,协调能力,✓
2014,1,徽县环境保护局,政府采购合同,合规能力,合规能力,✓
2014,2,徽县教育局,合同书,协调能力,协调能力,✓
2014,3,徽县教育局,徽县教育局2014年改薄设备采购合同,协调能力,协调能力,✓
2014,4,酒泉市公安局交通警察支队,酒泉市公安局交通警察支队高速一大队营房改造及车管所卫生间改造采购项目,合规能力,合规能力,✓
2014,5,康县茶叶科技开发中心,康县茶叶科技开发中心科技富民强县采购项目（第二包）,协调能力,协调能力,✓
2014,6,陇南市实验小学,陇南市实验小学人造草坪运动场采购项目,协调能力,协调能力,✓
2014,7,中央电视台,现址临时专线,协调能力,协调能力,✓
2014,8,中国科学院上海天文台,望远镜机械系统,协调能力,协调能力,✓
2014,9,中国科学院上海天文台,EMC屏蔽系统和微波吸收材料,协调能力,协调能力,✓
2014,10,中国科学院上海天文台,望远镜发射接收光学系统：激光器,协调能力,协调能力,✓
2014,11,国家税务总局,吉林省国家税务局国际税多功能一体机,提取能力,提取能力,✓
2014,12,龙州县国家税务总局,国税系统批量集中采购合同,提取能力,提取能力,✓
2014,13,湖北省孝感市国家税务局,湖北省孝感市国家税务局A3打印机采购合同,提取能力,提取能力,✓
2014,14,湖北省孝感市国家税务局,湖北省孝感市国家税务局网络存储采购合同,提取能力,提取能力,✓
2014,15,湖北省孝感市国家税务局,湖北省孝感市国家税务局服务器采购合同,提取能力,提取能力,✓
2014,16,中国科学院上海天文台,标校天线组件-发射天线,协调能力,协调能力,✓
2014,17,云南省昆明市盘龙区国家税务局,云南省昆明市盘龙区国家税务局2015年度汽车维修和保养服务采购合同,提取能力,提取能力,✓
2014,18,松辽水利委员会察尔森水库管理局,技术服务合同,协调能力,协调能力,✓
2014,19,沂沭泗水利管理局水情通信中心,沂沭泗局直管重点工程监控及自动控制系统项目建设承包合同,协调能力,协调能力,✓
2014,20,黄河水利委员会黄河水利科学研究院,模型黄河试验基地综合试验楼修缮,协调能力,协调能力,✓
2014,21,黄河水利委员会移民局,黄河托克托以下重点区域GPS控制网测量,协调能力,协调能力,✓
2014,22,黄河水利委员会移民局,全国水利发展“十三五”规划,协调能力,协调能力,✓
2014,23,庆阳市西峰区显胜乡人民政府,庆阳市西峰区显胜乡毛寺村居民小区太阳能路灯及庭院灯安装工程项目政府采购合同,协调能力,协调能力,✓
2014,24,黄河水利委员会移民局,黄河流域泥沙成果研究修订,协调能力,协调能力,✓
2014,25,腾冲出入境检验检疫局,采购合同书,合规能力,合规能力,✓
2014,26,中华人民共和国勐腊出入境检验检疫局,采购合同书,合规能力,合规能力,✓
2014,27,水利部水利信息中心,水旱灾害监测业务子系统和高分水利基础空间数据库建设与更新子系统开发,协调能力,协调能力,✓
2014,28,腾冲出入境检验检疫局,采购合同书,合规能力,合规能力,✓
2014,29,水利部水利信息中心,水资源监测评价和管理子系统开发,协调能力,协调能力,✓
2014,30,水利部水利信息中心,水土保持监测与评价业务子系统开发,协调能力,协调能力,✓
2014,31,安徽省林业有害生物防治检疫局,安徽省林业有害生物防治检疫局GPS采购,协调能力,协调能力,✓
2014,32,酒泉市交通运输局,酒泉市S214额济纳旗至酒泉公路肃州至金塔段公路改建工程可行性研究报告编制项目,协调能力,协调能力,✓
2014,33,中国科学院遥感与数字地球研究所,进口货物技术协议,协调能力,协调能力,✓
2014,34,中国科学院遥感与数字地球研究所,技术开发（委托）合同,协调能力,协调能力,✓
2014,35,中央国家机关政府采购中心,中央单位批量集中采购简易合同,协调能力,协调能力,✓
2014,36,中央国家机关政府采购中心,中央单位批量集中采购简易合同,协调能力,协调能力,✓
2014,37,中央国家机关政府采购中心,中央单位批量集中采购简易合同,协调能力,协调能力,✓
2014,38,安徽中医药大学,安徽中医药大学图书资料采购第14包：中文图书,协调能力,协调能力,✓
2014,39,中国科学院上海天文台,近场综合测量系统,协调能力,协调能力,✓
2014,40,安徽省林业厅,安徽省本级森林防火物资储备第3包,协调能力,协调能力,✓
2014,41,合肥印象包河旅游开发管理有限公司,合肥滨湖新区牛角大圩农村环境连片综合整治—农村生活垃圾收集与清运工程设备采购第1包,协调能力,协调能力,✓
2014,42,甘肃省第三人民医院,甘肃省第三人民医院腹腔镜等医疗设备采购项目合同书,协调能力,协调能力,✓
2014,43,凉州区农业技术推广中心,凉州区2015年旱作物农业起垄覆膜农机具采购项目,协调能力,协调能力,✓
2014,44,安徽大学,安徽大学中外文纸质图书第1包,协调能力,协调能力,✓
2014,45,凉州区农业综合开发办公室,凉州区2015年吴家井高标准农田建设工程项目三包,协调能力,协调能力,✓
2014,46,中国科学院上海药物研究所,建发（上海）有限公司进口合同,协调能力,协调能力,✓
2014,47,中国科学院上海天文台,2.4米望远镜配置IFU,协调能力,协调能力,✓
2014,48,安徽大学艺术与传媒学院,安徽大学艺术与传媒学院图书、教学设备采购第1包,协调能力,协调能力,✓
2014,49,合肥市庐阳区卫生和计划生育局、合肥市瑶海区卫生局,合肥市庐阳区和瑶海区基层医疗机构联合体药品带量采购配送企业服务第6包,协调能力,协调能力,✓
2014,50,合肥市公路管理局（合肥市公路路政支队）,S105合马路路面大修工程监理,协调能力,协调能力,✓
2014,51,合肥市庐阳区财政局,庐阳区2015-2017年度常用办公家具定点单位,协调能力,协调能力,✓
2014,52,甘肃省统计局,甘肃省统计局甘肃省统计地理信息系统二期项目合同协议书,提取能力,提取能力,✓
2014,53,合肥城市轨道交通有限公司,合肥市轨道交通2号线火灾自动报警系统及气体灭火系统集成,协调能力,协调能力,✓
2014,54,合肥庐阳工业区建设投资有限公司,庐阳工业区荣城南苑二期绿色建筑设计,协调能力,协调能力,✓
2014,55,合肥新创投资控股有限公司,合肥市新站区2015支网（天网新站支网）视频监控系统工程监理,协调能力,协调能力,✓
2014,56,合肥市瑶海区城建投资有限公司,瑶海区文化艺术中心和公共卫生中心锅炉设备采购安装,协调能力,协调能力,✓
2014,57,合肥高新创业园管理有限公司,合肥高新区创新产业园D8众创空间家具采购,协调能力,协调能力,✓
2014,58,合肥市重点工程建设管理局,合肥市重点工程建设管理局建设资金托管银行战略合作招标,协调能力,协调能力,✓
2014,59,合肥市重点工程建设管理局,西南出口西延工程监理,协调能力,协调能力,✓
2014,60,兰州大学第一医院,兰州大学第一医院脉动压力蒸汽灭菌器、全自动快速器械清洗消毒机、超声光散射乳腺成像系统医疗设备采购项目购销合同,协调能力,协调能力,✓
2014,61,庆阳市卫生计生委综合监督执法局,庆阳市卫生计生委综合监督执法局所需设备,合规能力,协调能力,✗
2014,62,酒泉职业技术学院,酒泉职业技术学院建设信息管理及网络考试系统采购项目,协调能力,协调能力,✓
2014,63,舟山市海洋环境监测预报中心,包7：X波段测波雷达系统,协调能力,协调能力,✓
2014,64,上海市普陀区市政管理中心,普陀区2014年未纳管污染源改造工程（二标段）施工总承包合同,协调能力,协调能力,✓
2014,65,上海市普陀区市政管理中心,南大路（红柳路-区界）雨污水管道改造及道路大修工程施工总承包合同,协调能力,协调能力,✓
2014,66,上海市普陀区市政管理中心,金沙江路（大渡河路-中山北路）大修及沿线环境整治工程施工总承包合同,协调能力,协调能力,✓
2014,67,上海市普陀区市政管理中心,北石路（铜川路-大渡河路）大修工程施工总承包合同,协调能力,协调能力,✓
2014,68,普陀区环保局,普陀区环境信息化建设项目（一）,协调能力,合规能力,✗
2014,69,龙市中学,音响系统,协调能力,协调能力,✓
2014,70,龙市中学,学生课桌凳,协调能力,协调能力,✓
2014,71,合阳中学,合阳中学推拉黑板采购合同,协调能力,协调能力,✓
2014,72,合阳中学,合阳中学食堂设备采购合同,协调能力,协调能力,✓
2014,73,宁夏广播电视台传输发射中心,宁夏广播电视总台传输发射中心发射机房制冷降温设备安装合同,协调能力,协调能力,✓
2014,74,甘肃省人民医院,甘肃省人民医院医疗器械政府采购项目合同,协调能力,协调能力,✓
2014,75,九龙坡区走马镇中学,机房改造合同,协调能力,协调能力,✓
2014,76,广西壮族自治区气象技术装备中心,专用软件开发服务采购（GXKLC20163128-B）合同,协调能力,协调能力,✓
2014,77,九龙坡区走马镇中学,走马中学综合楼外立面改造工程,协调能力,协调能力,✓
2014,78,九龙坡区走马镇中学,2014学校标准化建设卫生器材设施设备,协调能力,协调能力,✓
2014,79,九龙坡区走马镇中学,学校办公用计算机,协调能力,协调能力,✓
2014,80,九龙坡区走马镇中学,2014学校标准化建设音乐设施设备,协调能力,协调能力,✓
2014,81,九龙坡区走马镇中学,重庆市九龙坡区走马镇中学校园公共广播系统,协调能力,协调能力,✓
2014,82,九龙坡区走马镇中学,2014学校标准化建设体育设施设备,协调能力,协调能力,✓
2014,83,九龙坡区走马镇中学,学校办公用空调,协调能力,协调能力,✓
2014,84,九龙坡区走马镇中学,学校办公用数字相机,协调能力,协调能力,✓
2014,85,九龙坡区走马镇中学,学校文件柜,协调能力,协调能力,✓
2014,86,九龙坡区走马镇中学,2014学校标准化建设美术设施设备,协调能力,协调能力,✓
2014,87,九龙坡区走马镇中学,学校办公计算机,协调能力,协调能力,✓
2014,88,九龙坡区走马镇中学,2014学校标准化建纸质图书,协调能力,协调能力,✓
2014,89,九龙坡区走马镇中学,学校教学用计算机,协调能力,协调能力,✓
2014,90,九龙坡区走马镇中学,2014学校标准化建设科技器材设施设备,协调能力,协调能力,✓
2014,91,九龙坡区走马镇中学,2014学校标准化建设劳技器材设施设备,协调能力,协调能力,✓
2014,92,九龙坡区走马镇中学,理科仪器设备,协调能力,协调能力,✓
2014,93,九龙坡区走马镇中学,学校教学用电脑,协调能力,协调能力,✓
2014,94,重庆工商大学,重庆工商大学综合实训与文献信息中心相关项目全过程跟踪审计合同,协调能力,协调能力,✓
2014,95,九龙坡区走马镇中学,https://www.gec123.com,协调能力,协调能力,✓
2014,96,凉州区西营镇人民政府,凉州区西营镇人民政府杂沟村后续产业基地建设项目,协调能力,协调能力,✓
2014,97,兰州财经大学,兰州财经大学图书馆外文期刊采购项目供货合同,协调能力,协调能力,✓
2014,98,厦门航标处,趸船建造合同,协调能力,协调能力,✓
2014,99,交通运输部东海航海保障中心厦门航标处,东海航海保障中心厦门航标处海巡1630轮发电机组及配电系统改造工程项目合同,协调能力,协调能力,✓
2014,100,重庆工商大学,博智楼等7栋楼建筑消防设施维修保养合同,协调能力,协调能力,✓
2014,101,重庆工商大学,重庆工商大学数据中心硬件采购与集成项目采购合同,协调能力,协调能力,✓
2014,102,重庆工商大学,重庆工商大学数字艺术综合实验教学平台软件合同,协调能力,协调能力,✓
2014,103,重庆工商大学,成渝经济区产业发展促进中心数据中心集成项目合同,协调能力,协调能力,✓
2014,104,重庆工商大学,重庆工商大学数字艺术综合实验教学平台摄影器材合同,协调能力,协调能力,✓
2014,105,重庆工商大学,重庆工商大学数字艺术综合实验教学平台仪器设备合同,协调能力,协调能力,✓
2014,106,重庆工商大学,重庆工商大学废油中心仪器设备合同,协调能力,协调能力,✓
