序号,采购人,合同名称,分类,理由
57,国家税务总局,2015年第二季度国税系统打印机复印机批量集中采购询价项目第6包,提取能力,增强税收征管能力
58,国家税务总局,2015年第二季度打印机复印机批量集中采购询价项目第2、3、4包,提取能力,增强税收征管能力
59,国家税务总局,2015年第二季度国税系统打印机复印机批量集中采购询价项目第1包,提取能力,增强税收征管能力
60,和政县教育局,和政县教育局龙泉小学、和政一中设备器材采购项目,协调能力,组织教育公共服务
61,国家税务总局,2015年第二季度国税系统打印机复印机批量集中采购询价项目第5包,提取能力,增强税收征管能力
62,国家税务总局,增值税专用发票印制合同（2015）,提取能力,增强税收征管能力
63,文物出版社印刷厂,北京市房屋租赁合同,协调能力,组织文化出版服务
64,国家税务总局,国家税务总局运维支持中心工作场地租用项目第2包总局运维支持中心,提取能力,增强税收征管能力
65,中国农业电影电视中心,中国农业电影电视中心光纤传输及配套设备购置合同书,协调能力,组织农业宣传服务
66,秦安县兴国镇初级中学,秦安县兴国镇初级中学高清全自动录播系统采购项目,协调能力,组织教育公共服务
67,靖远县教育局,白银市靖远县青少年活动中心音乐器材,协调能力,组织教育公共服务
68,徽县农村合作经济经营管理站,技术服务合同,协调能力,组织农村经济服务
69,上海市金山区枫泾镇人民政府,枫泾镇污水管网完善工程（施工）,协调能力,组织环境基础设施
70,积石山县农业综合开发办公室,积石山县2015年大河家镇刘集乡农业综合开发高标准农田建设项目,协调能力,组织农业产业发展
71,徽县农村合作经济经营管理站,技术服务合同,协调能力,组织农村经济服务
72,东乡族自治县农业综合开发办公室,东乡县农业综合开发2015年东塬乡高标准农田建设项目建设工程施工合同,协调能力,组织农业产业发展
73,天水市秦州区环境保护局,天水市秦州区2014年农村环境综合整治项目采购合同,合规能力,增强环境执法能力
74,临夏市教育局,临夏州示范性综合实践基地设备采购项目（二次）供货合同,协调能力,组织教育公共服务
75,临夏市教育局,临夏州示范性综合实践基地设备采购项目（二次）采购合同,协调能力,组织教育公共服务
76,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
77,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
78,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
79,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
80,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
81,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
82,上海市宝山区燃气管理所,呼玛地区老公房燃气内管改造项目工程施工合同,协调能力,组织公用事业服务
83,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
84,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
85,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
86,庆阳市公安局交警支队,政府采购合同,合规能力,增强交通执法能力
87,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
88,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
89,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
90,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
91,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
92,中国农业电影电视中心,中央国家机关政府采购网上竞价合同,协调能力,组织农业宣传服务
93,中国人民解放军61046部队技术开发处,国家税务总局运维支持中心工作场地租用项目-总局呼叫中心包,提取能力,增强税收征管能力
94,中国农业电影电视中心,《乡约》栏目媒体营销项目服务合同,协调能力,组织农业宣传服务
95,中国文化遗产研究院,中国文化遗产研究院图书出版,协调能力,组织文化保护服务
96,水利部水库移民开发局,技术服务合同,协调能力,组织水利移民服务
97,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集能力
98,水利部水库移民开发局,技术服务合同,协调能力,组织水利移民服务
99,国家旅游局,国家旅游局2015年港澳台（中文繁体）旅游宣传品采购项目中标合同,协调能力,组织旅游公共服务
