年份,合同名称,详情链接,签订时间,发布时间,采购人,供应商,合同编号,项目编号,采购人地址,采购人联系方式,供应商地址,供应商联系方式,主要标的名称,规格型号或服务要求,主要标的数量,主要标的单价,合同金额,履约期限和地点等简要信息,采购方式,所属地域,所属行业,代理机构,合同签订日期,合同公告日期,合同金额num_万元,id,采购人_纬度,采购人_经度,采购人_省,采购人_省代码,采购人_市,采购人_市代码,采购人_县,采购人_县代码,供应商_纬度,供应商_经度,供应商_省,供应商_省代码,供应商_市,供应商_市代码,供应商_县,供应商_县代码,text,预测分类
2014,吉林省国家税务局国际税多功能一体机,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4fb16a4b014fed837140078b?contractSign=0,2014-04-24,2015-09-21,国家税务总局,吉林省华威惠通科技有限公司,GCHG110397-15-04-21-6436,2013-CGEC-36,,,,,,,,,0.850000万元,,,吉林省长春市南关区,批发和零售业,国家税务总局,2014-04-24,2014-04-24,0.85,2.372039e+06,43.7800364253029,125.425519874389,吉林省,220000.0,长春市,220100.0,南关区,220102.0,41.6763312105961,125.749812012989,吉林省,220000,通化市,220500,通化县,220521,国家税务总局 吉林省国家税务局国际税多功能一体机,提取能力
2014,国税系统批量集中采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa4ff26d5201501c4b45ec0956?contractSign=0,2014-12-16,2015-09-30,龙州县国家税务总局,北京联盛瀚海科技有限公司,451423-GSXT-PLCG-2014-6,,,,,,,,,,1.170000万元,,,广西壮族自治区崇左市龙州县,批发和零售业,国家税务总局,2014-12-16,2014-12-16,1.17,2.37204e+06,22.3481427297365,106.883089324214,广西壮族自治区,450000.0,崇左市,451400.0,龙州县,451423.0,22.3456464276338,106.850474191,广西壮族自治区,450000,崇左市,451400,龙州县,451423,龙州县国家税务总局 国税系统批量集中采购合同,提取能力
2014,湖北省孝感市国家税务局A3打印机采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9506af8fa01506b3cf6eb002f?contractSign=0,2014-03-10,2015-10-15,湖北省孝感市国家税务局,北京联盛瀚海科技有限公司,4209-GSXT-PLCG-2014-003,2015-CGEC-02,,,,,,,,,0.390000万元,,,湖北省孝感市,公共管理、社会保障和社会组织,国家税务总局,2014-03-10,2014-03-10,0.39,2.372041e+06,30.9364389995683,113.923251586766,湖北省,420000.0,孝感市,420900.0,孝南区,420902.0,30.9211674141975,113.951396324927,湖北省,420000,孝感市,420900,孝南区,420902,湖北省孝感市国家税务局 湖北省孝感市国家税务局A3打印机采购合同,协调能力
2014,湖北省孝感市国家税务局网络存储采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9506af8fa01506b4aaad30039?contractSign=0,2014-06-27,2015-10-15,湖北省孝感市国家税务局,武汉联创电脑有限公司,4209-2015-00053,2013-CGEC-36,,,,,,,,,19.300000万元,,,湖北省孝感市,公共管理、社会保障和社会组织,国家税务总局,2014-06-27,2014-06-27,19.3,2.372042e+06,30.9364389995683,113.923251586766,湖北省,420000.0,孝感市,420900.0,孝南区,420902.0,30.5773224741352,113.643915104269,湖北省,420000,孝感市,420900,汉川市,420984,湖北省孝感市国家税务局 湖北省孝感市国家税务局网络存储采购合同,协调能力
2014,湖北省孝感市国家税务局服务器采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9506af8fa01506b419d490034?contractSign=0,2014-06-27,2015-10-15,湖北省孝感市国家税务局,武汉联创电脑有限公司,4209-2015-00052,2013-CGEC-36,,,,,,,,,28.500000万元,,,湖北省孝感市,公共管理、社会保障和社会组织,国家税务总局,2014-06-27,2014-06-27,28.5,2.372043e+06,30.9364389995683,113.923251586766,湖北省,420000.0,孝感市,420900.0,孝南区,420902.0,30.5773224741352,113.643915104269,湖北省,420000,孝感市,420900,汉川市,420984,湖北省孝感市国家税务局 湖北省孝感市国家税务局服务器采购合同,协调能力
2014,标校天线组件-发射天线,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa507fb810015082a7cca80080?contractSign=0,2014-09-10,2015-10-20,中国科学院上海天文台,北京齐天昆仑微波测控技术有限公司,SHAO201407S1,无,,,,,,,,,66.000000万元,,,北京市,制造业,中国科学院上海天文台,2014-09-10,2014-09-10,66.0,2.372044e+06,40.0008309307022,116.377584182213,北京市,110000.0,北京市,110000.0,朝阳区,110105.0,39.9031959764939,116.400758103321,北京市,110000,北京市,110000,东城区,110101,中国科学院上海天文台 标校天线组件-发射天线,协调能力
2014,云南省昆明市盘龙区国家税务局2015年度汽车维修和保养服务采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9508e014d015093bf6af403a1?contractSign=0,2014-07-30,2015-10-23,云南省昆明市盘龙区国家税务局,昆明全凯汽车服务有限公司,01511961020150500002,01511961020150500002,,,,,,,,,15.000000万元,,,云南省昆明市盘龙区,汽车修理与维护,国家税务总局集中采购中心,2014-07-30,2014-07-30,15.0,2.372045e+06,25.0506827416709,102.723773643195,云南省,530000.0,昆明市,530100.0,盘龙区,530103.0,25.0791888296137,102.732705791263,云南省,530000,昆明市,530100,盘龙区,530103,云南省昆明市盘龙区国家税务局 云南省昆明市盘龙区国家税务局2015年度汽车维修和保养服务采购合同,协调能力
2014,技术服务合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9508e014d0150a2138bae076f?contractSign=0,2014-06-30,2015-10-26,松辽水利委员会察尔森水库管理局,吉林松辽水利水电咨询有限责任公司,SZDC-001,1261520589301,,,,,,,,,5.910000万元,,,内蒙古自治区兴安盟乌兰浩特市,水利、环境和公共设施管理业,无,2014-06-30,2014-06-30,5.91,2.372046e+06,46.0774030349064,122.055309060912,内蒙古自治区,150000.0,兴安盟,152200.0,乌兰浩特市,152201.0,46.070945968936,122.086785688458,内蒙古自治区,150000,兴安盟,152200,乌兰浩特市,152201,松辽水利委员会察尔森水库管理局 技术服务合同,协调能力
2014,沂沭泗局直管重点工程监控及自动控制系统项目建设承包合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9508e014d0150a3497c6f0940?contractSign=0,2014-04-28,2015-10-27,沂沭泗水利管理局水情通信中心,中国普天信息产业股份有限公司,YSS-SPJK-003,1261520384801,,,,,,,,,1911.989000万元,,,江苏省徐州市云龙区,水利、环境和公共设施管理业,中国普天信息产业股份有限公司,2014-04-28,2014-04-28,1911.989,2.372047e+06,34.2042464437805,117.282716005163,江苏省,320000.0,徐州市,320300.0,云龙区,320303.0,34.2540934057879,117.246280936066,江苏省,320000,徐州市,320300,云龙区,320303,沂沭泗水利管理局水情通信中心 沂沭泗局直管重点工程监控及自动控制系统项目建设承包合同,协调能力
2014,模型黄河试验基地综合试验楼修缮,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa508e0a1c0150ac7e92c907d1?contractSign=0,2014-07-16,2015-10-28,黄河水利委员会黄河水利科学研究院,河南省康泰建筑工程有限公司,GMGG15124,GMGG15124,,,,,,,,,167.670000万元,,,河南省郑州市金水区,农、林、牧、渔业,河南国贸招标有限公司,2014-07-16,2014-07-16,167.67,2.372048e+06,34.7610342494905,113.674791985244,河南省,410000.0,郑州市,410100.0,金水区,410105.0,33.7547195588515,113.330535720084,河南省,410000,平顶山市,410400,卫东区,410403,黄河水利委员会黄河水利科学研究院 模型黄河试验基地综合试验楼修缮,协调能力
2014,黄河托克托以下重点区域GPS控制网测量,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950b223a20150b67384b5010b?contractSign=0,2014-06-30,2015-10-30,黄河水利委员会移民局,黄河勘测规划设计有限公司,2015-YRCC-BW-04,1261520197003,,,,,,,,,600.000000万元,,,河南省郑州市金水区,水利、环境和公共设施管理业,无,2014-06-30,2014-06-30,600.0,2.372049e+06,34.7663784496391,113.679934695499,河南省,410000.0,郑州市,410100.0,金水区,410105.0,34.7656929190093,113.665363605503,河南省,410000,郑州市,410100,金水区,410105,黄河水利委员会移民局 黄河托克托以下重点区域GPS控制网测量,协调能力
2014,全国水利发展“十三五”规划,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950b223a20150b67a04fb0117?contractSign=0,2014-06-30,2015-10-30,黄河水利委员会移民局,黄河勘测规划设计有限公司,2014-YRCC-BW-6,1261520197005,,,,,,,,,83.000000万元,,,河南省郑州市金水区,水利、环境和公共设施管理业,无,2014-06-30,2014-06-30,83.0,2.37205e+06,34.7663784496391,113.679934695499,河南省,410000.0,郑州市,410100.0,金水区,410105.0,34.7656929190093,113.665363605503,河南省,410000,郑州市,410100,金水区,410105,黄河水利委员会移民局 全国水利发展“十三五”规划,协调能力
2014,庆阳市西峰区显胜乡毛寺村居民小区太阳能路灯及庭院灯安装工程项目政府采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a953871d3a015388c13ca81182?contractSign=0,2014-07-31,2015-10-30,庆阳市西峰区显胜乡人民政府,供应商名称,GSJC201506Z-468QY,无,,,,,,,,,31.557200万元,,,甘肃省,农业,甘肃金诚国际招标有限责任公司,2014-07-31,2014-07-31,31.5572,2.372051e+06,35.4983548078037,107.660639591471,甘肃省,620000.0,庆阳市,621000.0,西峰区,621002.0,36.0597116681287,103.823579666472,甘肃省,620000,兰州市,620100,城关区,620102,庆阳市西峰区显胜乡人民政府 庆阳市西峰区显胜乡毛寺村居民小区太阳能路灯及庭院灯安装工程项目政府采购合同,协调能力
2014,黄河流域泥沙成果研究修订,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50b237e30150b6438ada0413?contractSign=0,2014-06-30,2015-10-30,黄河水利委员会移民局,黄河勘测规划设计有限公司,2014-YRCC-BW-5,1261520197001,,,,,,,,,600.000000万元,,,河南省郑州市金水区,水利、环境和公共设施管理业,无,2014-06-30,2014-06-30,600.0,2.372052e+06,34.7663784496391,113.679934695499,河南省,410000.0,郑州市,410100.0,金水区,410105.0,34.7656929190093,113.665363605503,河南省,410000,郑州市,410100,金水区,410105,黄河水利委员会移民局 黄河流域泥沙成果研究修订,协调能力
2014,采购合同书,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50b83a020150bd206e2d00d4?contractSign=0,2014-02-09,2015-10-31,腾冲出入境检验检疫局,云南金运通泰商贸有限公司,YZ2014004601008-JYTT-TC,YZ2014004601008,,,,,,,,,1.180000万元,,,云南省保山市腾冲县,租赁和商务服务业,云南招标股份有限公司,2014-02-09,2014-02-09,1.18,2.372053e+06,25.0158265077648,98.4997447568957,云南省,530000.0,保山市,530500.0,腾冲市,530581.0,30.5079119731884,103.696160140569,四川省,510000,成都市,510100,大邑县,510129,腾冲出入境检验检疫局 采购合同书,合规能力
2014,采购合同书,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950b83a0b0150c1157bd101f2?contractSign=0,2014-10-22,2015-11-01,中华人民共和国勐腊出入境检验检疫局,昆明纳瑞科技有限公司,MLCIQ2015SPTY-001,JHHX2015-89,,,,,,,,,14.320000万元,,,云南省西双版纳傣族自治州勐腊县,行政监督检查机构,景洪市和信建设工程咨询有限责任公司,2014-10-22,2014-10-22,14.32,2.372054e+06,21.4557446956359,101.563480302331,云南省,530000.0,西双版纳傣族自治州,532800.0,勐腊县,532823.0,21.4622642948728,101.563709540936,云南省,530000,西双版纳傣族自治州,532800,勐腊县,532823,中华人民共和国勐腊出入境检验检疫局 采购合同书,合规能力
2014,水旱灾害监测业务子系统和高分水利基础空间数据库建设与更新子系统开发,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50b24f450150b835f6a202db?contractSign=0,2014-09-26,2015-11-02,水利部水利信息中心,北京吉威数源信息技术有限公司,2014-296,OITC-G14032381,,,,,,,,,226.000000万元,,,北京市市辖区西城区,水利、环境和公共设施管理业,东方国际招标有限责任公司,2014-09-26,2014-09-26,226.0,2.372055e+06,39.884666771654,116.352191429706,北京市,110000.0,北京市,110000.0,西城区,110102.0,39.9052343009526,116.213189335574,北京市,110000,北京市,110000,石景山区,110107,水利部水利信息中心 水旱灾害监测业务子系统和高分水利基础空间数据库建设与更新子系统开发,协调能力
2014,采购合同书,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50c6b5750150c74b20d2009a?contractSign=0,2014-02-08,2015-11-02,腾冲出入境检验检疫局,江苏健威有害生物防治技术服务有限公司,jw-2014020802,YZ2014004601008,,,,,,,,,4.690000万元,,,云南省保山市腾冲县,农、林、牧、渔业,云南招标股份有限公司,2014-02-08,2014-02-08,4.69,2.372056e+06,25.0158265077648,98.4997447568957,云南省,530000.0,保山市,530500.0,腾冲市,530581.0,25.0235587834781,98.4907483278583,云南省,530000,保山市,530500,腾冲市,530581,腾冲出入境检验检疫局 采购合同书,合规能力
2014,水资源监测评价和管理子系统开发,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50b83a020150b83a17130001?contractSign=0,2014-09-26,2015-11-02,水利部水利信息中心,北京航天宏图信息技术有限责任公司,2014-295,OITC-G14032381,,,,,,,,,210.000000万元,,,北京市市辖区西城区,水利、环境和公共设施管理业,东方国际招标有限责任公司,2014-09-26,2014-09-26,210.0,2.372057e+06,39.884666771654,116.352191429706,北京市,110000.0,北京市,110000.0,西城区,110102.0,39.9528431512712,116.229280386126,北京市,110000,北京市,110000,海淀区,110108,水利部水利信息中心 水资源监测评价和管理子系统开发,协调能力
2014,水土保持监测与评价业务子系统开发,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50b24f450150b83175d702d6?contractSign=0,2014-09-26,2015-11-02,水利部水利信息中心,北京地拓科技发展有限公司,2014-297,OITC-G14032381,,,,,,,,,128.400000万元,,,北京市市辖区西城区,水利、环境和公共设施管理业,东方国际招标有限责任公司,2014-09-26,2014-09-26,128.4,2.372058e+06,39.884666771654,116.352191429706,北京市,110000.0,北京市,110000.0,西城区,110102.0,40.0259551015544,116.305226315425,北京市,110000,北京市,110000,海淀区,110108,水利部水利信息中心 水土保持监测与评价业务子系统开发,协调能力
2014,安徽省林业有害生物防治检疫局GPS采购,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a95136ecf20151568b9fa102ae?contractSign=0,2014-10-26,2015-11-03,安徽省林业有害生物防治检疫局,合肥达捷测绘导航科技有限公司,2015HACX1173-001,2015HACX1173,,,,,,,,,10.900000万元,,,安徽省,农、林、牧、渔业,安徽合肥公共资源交易中心,2014-10-26,2014-10-26,10.9,2.372059e+06,31.7239649775468,117.160080454762,安徽省,340000.0,合肥市,340100.0,肥西县,340123.0,31.8356322310453,117.408141164082,安徽省,340000,合肥市,340100,肥东县,340122,安徽省林业有害生物防治检疫局 安徽省林业有害生物防治检疫局GPS采购,协调能力
2014,酒泉市S214额济纳旗至酒泉公路肃州至金塔段公路改建工程可行性研究报告编制项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a953871d3a015388e159ee1e6d?contractSign=0,2014-10-30,2015-11-05,酒泉市交通运输局,供应商名称,JQZFCG(2015)257号,无,,,,,,,,,44.800000万元,,,甘肃省,农业,甘肃浩鑫工程建设监理有限责任公司,2014-10-30,2014-10-30,44.8,2.37206e+06,39.5173417222134,94.8611128204447,甘肃省,620000.0,酒泉市,620900.0,肃北蒙古族自治县,620923.0,36.0597116681287,103.823579666472,甘肃省,620000,兰州市,620100,城关区,620102,酒泉市交通运输局 酒泉市S214额济纳旗至酒泉公路肃州至金塔段公路改建工程可行性研究报告编制项目,协调能力
2014,进口货物技术协议,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950c6954a0150d553e8310390?contractSign=0,2014-12-08,2015-11-05,中国科学院遥感与数字地球研究所,北京欧普特科技有限公司,2014GWYG1208,14CNIC-032079-53,,,,,,,,,73.560000万元,,,北京市,信息传输、软件和信息技术服务业,中国仪器进出口（集团）公司,2014-12-08,2014-12-08,73.56,2.372061e+06,40.001062691207,116.377359033041,北京市,110000.0,北京市,110000.0,朝阳区,110105.0,39.9753377700258,116.495035414114,北京市,110000,北京市,110000,朝阳区,110105,中国科学院遥感与数字地球研究所 进口货物技术协议,协调能力
2014,技术开发（委托）合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950c6954a0150cb154ff201bf?contractSign=0,2014-12-08,2015-11-05,中国科学院遥感与数字地球研究所,航天恒星科技有限公司,GFDM-BJZ-HT-003-JS,GXTC-1461089,,,,,,,,,2730.000000万元,,,北京市,信息传输、软件和信息技术服务业,国信招标集团股份有限公司,2014-12-08,2014-12-08,2730.0,2.372062e+06,40.001062691207,116.377359033041,北京市,110000.0,北京市,110000.0,朝阳区,110105.0,40.0620512665764,116.15783393192,北京市,110000,北京市,110000,海淀区,110108,中国科学院遥感与数字地球研究所 技术开发（委托）合同,协调能力
2014,中央单位批量集中采购简易合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50c7802e0150f05f58c60503?contractSign=0,2014-05-14,2015-11-10,中央国家机关政府采购中心,上海震旦办公自动化销售有限公司,GC-HG150211-15-05-24-4572,GC-HG150211,,,,,,,,,0.958000万元,,,广东省,信息传输、软件和信息技术服务业,中央国家机关政府采购中心,2014-05-14,2014-05-14,0.958,2.372063e+06,23.1432009493231,113.311919702289,广东省,440000.0,广州市,440100.0,天河区,440106.0,23.0921997316003,113.527076137934,广东省,440000,广州市,440100,黄埔区,440112,中央国家机关政府采购中心 中央单位批量集中采购简易合同,协调能力
2014,中央单位批量集中采购简易合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50c7802e0150f05c21ab04fb?contractSign=0,2014-05-17,2015-11-10,中央国家机关政府采购中心,北京科尔沁科贸有限责任公司,GC-HG150213-15-05-17-5509,GC-HG150213,,,,,,,,,0.431600万元,,,广东省,信息传输、软件和信息技术服务业,中央国家机关政府采购中心,2014-05-17,2014-05-17,0.4316,2.372064e+06,23.1432009493231,113.311919702289,广东省,440000.0,广州市,440100.0,天河区,440106.0,40.0349607058969,116.30206549751,北京市,110000,北京市,110000,海淀区,110108,中央国家机关政府采购中心 中央单位批量集中采购简易合同,协调能力
2014,中央单位批量集中采购简易合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50c7802e0150f05f5cb60507?contractSign=0,2014-05-14,2015-11-10,中央国家机关政府采购中心,上海震旦办公自动化销售有限公司,GC-HG150211-15-05-24-4572,GC-HG150211,,,,,,,,,0.958000万元,,,广东省,信息传输、软件和信息技术服务业,中央国家机关政府采购中心,2014-05-14,2014-05-14,0.958,2.372065e+06,23.1432009493231,113.311919702289,广东省,440000.0,广州市,440100.0,天河区,440106.0,23.0921997316003,113.527076137934,广东省,440000,广州市,440100,黄埔区,440112,中央国家机关政府采购中心 中央单位批量集中采购简易合同,协调能力
2014,安徽中医药大学图书资料采购第14包：中文图书,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a950c6954a0150fb46edb10a3d?contractSign=0,2014-11-02,2015-11-11,安徽中医药大学,湖北三新文化传媒有限公司,2015HACZ0287-14-001,2015HACZ0287-14,,,,,,,,,66.500000万元,,,安徽省,农、林、牧、渔业,安徽合肥公共资源交易中心,2014-11-02,2014-11-02,66.5,2.372066e+06,30.6568119550484,104.055069792029,四川省,510000.0,成都市,510100.0,青羊区,510105.0,32.4462885733737,116.637163080398,安徽省,340000,淮南市,340400,寿县,340422,安徽中医药大学 安徽中医药大学图书资料采购第14包：中文图书,协调能力
2014,近场综合测量系统,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa50c7802e0150f98c99620552?contractSign=0,2014-08-27,2015-11-12,中国科学院上海天文台,上海韦届特机电科技有限公司,SHAO-CT-201407,无,,,,,,,,,75.500000万元,,,上海市,制造业,中国科学院上海天文台,2014-08-27,2014-08-27,75.5,2.372067e+06,31.1907021309575,121.429724174002,上海市,310000.0,上海市,310000.0,徐汇区,310104.0,32.5004785947475,118.68495531734,江苏省,320000,南京市,320100,六合区,320116,中国科学院上海天文台 近场综合测量系统,协调能力
2014,安徽省本级森林防火物资储备第3包,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a95136ecf201515c4a817a03bb?contractSign=0,2014-11-30,2015-12-01,安徽省林业厅,合肥全创电子科技有限公司,2015HACZ3550-3-001,2015HACZ3550-3,,,,,,,,,103.810000万元,,,安徽省,农、林、牧、渔业,安徽合肥公共资源交易中心,2014-11-30,2014-11-30,103.81,2.372068e+06,31.8642658436461,117.242318000141,安徽省,340000.0,合肥市,340100.0,蜀山区,340104.0,31.7356635797202,117.186165689179,安徽省,340000,合肥市,340100,肥西县,340123,安徽省林业厅 安徽省本级森林防火物资储备第3包,合规能力
