年份,合同名称,主要标的名称,采购人,供应商,所属行业,合同金额num_万元,capacity_label,label_confidence,label_reason
2012,万盛经开区矿产资源总体规划（2021-2025）和规划环境影响评价报告采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆地质矿产研究院,,43.2,extractive,0.85,关键词决定:汲取
2012,农村土地房屋和集体土地所有权成果质量验收采购合同,无,重庆市万盛经济技术开发区国土房管局,拓土发展有限公司,,24.8,coordination,0.3,默认:通用采购
2012,农村乱占耕地建房问题摸排技术服务采购合同,无,重庆市万盛经济技术开发区国土房管局,重庆华江地理信息有限公司,,29.6,coordination,0.3,默认:通用采购
2012,办公桌椅一批采购合同,无,重庆市綦江区精神卫生中心,綦江区南洋家俱城,,13.42,coordination,0.3,默认:通用采购
2012,病房库房定制柜采购合同,库房物品柜,重庆市綦江区精神卫生中心,綦江县南洋家具城,,12.16,coordination,0.3,默认:通用采购
2012,医疗仪器采购合同,无抽搐电休克仪及配套,重庆市綦江区精神卫生中心,重庆永业医疗器械有限公司,,81.5,coordination,0.3,默认:通用采购
2012,计算机设备销售合同,服务器,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,,3.4,coordination,0.3,默认:通用采购
2012,计算机设备销售合同,笔记本电脑,盐池县医疗保障局本级,宁夏华威盛通信息工程有限公司,,0.6499,coordination,0.3,默认:通用采购
2012,翁源县中医院发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装采购项目,发热门诊、负压病房、重症监护室及医用气体等科室专用设备及配套安装,翁源县中医院,广州市九和工程有限公司,,1180.052808,compliance,0.95,采购人决定:合规
2012,昆区佳园小区北区硬化工程施工3标段,48216,包头市昆都仑区住房和城乡建设局,包头市第二建筑工程有限责任公司,,4.8216,coordination,0.95,采购人决定:协调
2012,榆林职业技术学院林学院后勤整体选择委托管理,高等教育服务,榆林职业技术学院,陕西榆林绿色阳光物业管理有限公司,,167.9,compliance,0.95,采购人决定:合规
2012,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,汕头市龙湖区老旧小区改造项目--2023年度改造任务全过程项目管理咨询服务,汕头市龙湖区住房和城乡建设局,广东晖达工程顾问有限公司,,276.75925,coordination,0.95,采购人决定:协调
2012,苍溪县非正规垃圾填埋场防渗改造项目监理服务,苍溪县非正规垃圾填埋场防渗改造项目监理服务,广元市苍溪生态环境局,四川昌正工程咨询有限公司,,48.9,coordination,0.3,默认:通用采购
2012,潮州市潮安区储备粮管理中心修缮工程定点议价采购合同,房屋修缮,潮州市潮安区储备粮管理中心,广东蓝堡建设有限公司,,15.210463,coordination,0.3,默认:通用采购
2012,印刷服务（电话本45元*6本=270元),印刷服务（电话本45元*6本=270元),伊春市老干部服务中心,伊春市人民政府文印中心,,0.027,coordination,0.3,默认:通用采购
2012,办公设备打印机、复印机维修维护,办公设备打印机、复印机维修维护,伊春市老干部服务中心,伊春市伊春区鑫创想电脑科技店,,0.3659,coordination,0.3,默认:通用采购
2012,男性家族排查系统建设（二期）,男性家族排查系统建设（二期）,黑龙江省垦区公安局绥化分局,深圳华大法医科技有限公司,,6.09024,compliance,0.95,采购人决定:合规
2012,1230,1230,大兴安岭地区市场监督管理局,加格达奇区创彩广告工作室,,0.123,coordination,0.3,默认:通用采购
2012,（铁财购核字[2022]01435号）房屋维修,房屋维修,铁力市妇女联合会,铁力市景盛建筑装饰有限责任公司,,0.7,coordination,0.3,默认:通用采购
2012,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,关于漠河市阳光社区卫生服务中心车辆维修和保养服务项目,漠河市阳光社区卫生服务中心,漠河县老六汽车修理部,,0.45048,coordination,0.3,默认:通用采购
2012,印刷宣传品,印刷宣传品,哈尔滨市香坊区消防救援大队,哈尔滨好物驾稻电子商务有限公司,,7.054,coordination,0.3,默认:通用采购
2012,条幅、宣传单,条幅、宣传单,黑河市爱辉区林业和草原局,黑河市远大广告有限责任公司,,0.68,coordination,0.3,默认:通用采购
2012,改造车库项目,50000,铁力市林业和草原局,黑龙江省博涛建筑装饰有限公司,,4.978361,coordination,0.3,默认:通用采购
2012,逊河镇大公河村清淤修路项目,清淤修路项目,逊克县逊河镇大公河村民委员会,黑龙江省中都建筑工程有限公司,,26.311732,coordination,0.3,默认:通用采购
2012,表格印刷,表格印刷,大庆市大同区统计局,大庆市大同区继英印务牌匾制作室,,1.35,coordination,0.3,默认:通用采购
2012,博物馆可移动文物监理费,博物馆可移动文物监理费,泰来县图书馆,沈阳爱乐盟工程顾问有限公司,,1.48,coordination,0.3,默认:通用采购
2012,审查调查实务手册,审查调查实务手册,中国共产党南岔县纪律检查委员会、南岔县监察委员会,伊春市人民政府文印中心,,0.075,coordination,0.3,默认:通用采购
2012,会议记录薄,会议记录薄,大庆市大同区总工会,大庆市鸿鑫印刷有限公司,,0.144,coordination,0.3,默认:通用采购
2012,招商资料印刷,招商资料印刷,哈尔滨市文化广电和旅游局,哈尔滨华焱印务有限公司,,9.0,coordination,0.3,默认:通用采购
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,印刷服务,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,,1.365,compliance,0.95,采购人决定:合规
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,印刷服务,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,,1.0555,compliance,0.95,采购人决定:合规
2012,2022年度养护业务车辆维修服务,2022年度养护业务车辆维修服务,同江市农村公路养护中心,同江市文忠修理部,,9.501,coordination,0.3,默认:通用采购
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,coordination,0.3,默认:通用采购
2012,重竞技运动管理中心改扩建项目一期工程,重竞技运动管理中心改扩建工程一期项目,黑龙江省重竞技运动管理中心,北京建工博海建设有限公司,,310.32524,coordination,0.3,默认:通用采购
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,coordination,0.3,默认:通用采购
2012,合肥市生活垃圾焚烧发电厂特许经营项目,焚烧发电运营费及环境监测费,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,,,coordination,0.3,默认:通用采购
2012,后勤处烘干机质保金退回,厨房操作台,东北农业大学,天津蝶桥厨房设备有限公司,,0.315,compliance,0.95,采购人决定:合规
2012,新校区学生公寓楼建设合同,新校区学生公寓楼建设,晋中学院,山西安华建设工程有限公司,,,compliance,0.95,采购人决定:合规
2012,建设工程施工合同-山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,山西传媒学院,山西六建集团有限公司,,,compliance,0.95,采购人决定:合规
2012,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,山西传媒学院,山西建设投资集团有限公司,,,compliance,0.95,采购人决定:合规
2013,渭源县人民医院医疗设备采购项目供货合同(第二包）,,渭源县人民医院,供应商名称,农业,216.0,compliance,0.95,采购人决定:合规
2013,高分水利业务示范应用平台开发,,水利部水利信息中心,北京航天宏图信息技术有限责任公司,水利、环境和公共设施管理业,236.0,coordination,0.9,行业决定:协调
2013,皋兰县第一中学等五所学校装配三机位高清录播教室项目供货合同,,皋兰县教育局,供应商名称,农业,208.9885,compliance,0.95,采购人决定:合规
2013,甘肃省监狱管理局定西监狱“四防一体”及安防设施采购项目合同书,,甘肃省监狱管理局,甘肃博兴建设工程有限公司,信息传输、软件和信息技术服务业,411.0,coordination,0.3,默认:通用采购
2013,安徽科技学院图书采购,,安徽科技学院,安徽时代出版发行有限公司,农、林、牧、渔业,40.0,compliance,0.95,采购人决定:合规
2013,兰州站广场及大桥照明设施维修政府采购项目合同,,甘肃省兰州高速公路管理处,甘肃紫光智能交通与控制技术有限公司,交通运输、仓储和邮政业,30.8,coordination,0.3,默认:通用采购
2013,普陀区2013年未纳管污染源改造工程（二标段）施工总承包合同,,上海市普陀区市政管理中心,上海惠丰置业有限公司,暂无,1077.6457,coordination,0.95,采购人决定:协调
2013,办公笔记本合同,,九龙坡区走马镇中学,重庆拓渠科贸有限公司,普通初中教育,0.49,compliance,0.95,采购人决定:合规
2013,销售合同,,重庆市中西医结合康复医院,奥托博克中国工业有限公司,其他未列明零售业,4.675,compliance,0.95,采购人决定:合规
2013,甘肃省中医院停车场车辆进出口道闸免取卡收费系统政府采购项目合同,,甘肃省中医院,甘肃玛斯博诺电子科技有限公司,信息传输、软件和信息技术服务业,34.178,compliance,0.95,采购人决定:合规
2013,浦东新区郊区生活垃圾清运合同,,上海市浦东新区废弃物管理中心,上海浦东东道远综合养护有限公司,暂无,9093.27,coordination,0.3,默认:通用采购
2013,海洋地球物理数据可视化3维立体展示系统软件合同,,国家海洋局第二海洋研究所,上海地海仪器有限公司,科学研究和技术服务业,12.96,coordination,0.3,默认:通用采购
2013,采购帧同步器进机卡、HPML350pR08服务器、系统应用软件项目合同,,国家海洋局第二海洋研究所,陕西全和物资机电设备有限责任公司,科学研究和技术服务业,45.95,coordination,0.3,默认:通用采购
2013,中国人口宣传教育中心媒体资产管理信息系统项目政府采购合同,,中国人口宣传教育中心,北京捷成世纪科技股份有限公司,卫生和社会工作,479.2,compliance,0.9,行业决定:合规
2013,设备安装合同,,北碚区疾控中心,成都瑞洁思环境项目有限公司,疾病预防控制中心,34.98,compliance,0.95,采购人决定:合规
2013,射线防护制品合同书,,北碚区疾控中心,重庆信远射线防护设备有限公司,疾病预防控制中心,3.9288,compliance,0.95,采购人决定:合规
2013,仪器设备购销合同,,北碚区疾控中心,重庆康吉医疗器械有限公司,疾病预防控制中心,3.8,compliance,0.95,采购人决定:合规
2013,仪器设备购销合同,,北碚区疾控中心,重庆通品科技有限公司,疾病预防控制中心,9.9,compliance,0.95,采购人决定:合规
2013,北碚区政府采购货物购销合同,,北碚区疾控中心,重庆迈克科技公司,疾病预防控制中心,53.5,compliance,0.95,采购人决定:合规
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆裕捷科技有限公司,疾病预防控制中心,6.385,compliance,0.95,采购人决定:合规
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆裕捷科技有限公司,疾病预防控制中心,6.135,compliance,0.95,采购人决定:合规
2013,仪器设备购销合同,,北碚区疾控中心,重庆沐森医疗器械有限公司,疾病预防控制中心,4.1,compliance,0.95,采购人决定:合规
2013,采购合同,,北碚区疾控中心,重庆伟琅电脑经营部,疾病预防控制中心,2.7019,compliance,0.95,采购人决定:合规
2013,重庆市政府采购货物购销合同,,北碚区疾控中心,重庆市超之杰商贸有限公司,疾病预防控制中心,3.40875,compliance,0.95,采购人决定:合规
2013,仪器设备购销合同,,北碚区疾控中心,成都鑫鑫泰实业有限公司,疾病预防控制中心,9.5,compliance,0.95,采购人决定:合规
2013,实验室设备采购合同,,北碚区疾控中心,上海中增科教设备有限公司,疾病预防控制中心,54.6309,compliance,0.95,采购人决定:合规
2013,仪器设备购销合同,,北碚区疾控中心,重庆铱标科技有限公司,疾病预防控制中心,6.5,compliance,0.95,采购人决定:合规
2013,北碚区政府货物采购购销合同,,北碚区疾控中心,重庆天朝数码科技有限公司,疾病预防控制中心,4.681,compliance,0.95,采购人决定:合规
2013,建设工程委托监理合同,,北碚区疾控中心,重庆市宏都建设工程监理有限公司,疾病预防控制中心,3.3,compliance,0.95,采购人决定:合规
2013,秦安县文化广播影视局“送戏下乡”演出服务项目竞争性磋商招标公告,,秦安县文化广播影视局,秦安县文化演出有限公司,文艺创作与表演,30.992,coordination,0.3,默认:通用采购
2013,普陀区生态专项建设工程Ⅲ标施工,,上海市普陀区绿化和市容管理局,上海普陀区园林建设综合开发有限公司,暂无,660.8344,coordination,0.85,关键词决定:协调
2013,采访话筒购买合同,,重庆市九龙坡区西彭园区实验小学校,重庆明耀办公用品有限公司,其他文化用品零售,0.12,compliance,0.95,采购人决定:合规
2013,激光笔购买合同,,重庆市九龙坡区西彭园区实验小学校,重庆明耀办公用品有限公司,其他文化用品零售,0.306,compliance,0.95,采购人决定:合规
2013,重庆市政府采购货物购销合同,,重庆市九龙坡区西彭园区实验小学校,重庆拓展电子有限公司,计算机、软件及辅助设备零售,0.392,compliance,0.95,采购人决定:合规
2013,采购斯柯达昊锐1.4t小轿车,,九龙坡区房屋管理局,重庆高新璟锐汽车有限公司,汽车零售,14.98,coordination,0.3,默认:通用采购
2013,九龙坡区房管局石桥铺房管所采购斯柯达昊锐1.4t小轿车,,九龙坡区房屋管理局,重庆高新璟锐汽车有限公司,汽车零售,14.98,coordination,0.3,默认:通用采购
2013,征收中心维修办公室等合同,,九龙坡区房屋管理局,重庆唐风装饰有限公司,建筑装饰业,2.72,coordination,0.9,行业决定:协调
2013,重庆市九龙坡区档案局爱国主义教育基地软件制作合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.399,coordination,0.3,默认:通用采购
2013,重庆市九龙坡区档案局爱国主义教育基地多媒体设备采购合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.5156,coordination,0.3,默认:通用采购
2013,九龙坡区房管局所需车辆采购合同,,九龙坡区房屋管理局,重庆龙华实业集团众华汽车销售服务有限公司,汽车零售,24.67,coordination,0.3,默认:通用采购
2013,重庆市九龙坡区档案局爱国主义教育基地项目工程合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,18.95416,coordination,0.3,默认:通用采购
2013,大修施工合同,,九龙坡区档案局,武汉浩坤建设有限公司,其他未列明建筑业,18.21,coordination,0.85,关键词决定:协调
2013,汽车销售合同,,九龙坡区档案局,重庆商社汽车贸易有限公司飞跃分公司,其他道路运输辅助活动,14.98,coordination,0.3,默认:通用采购
2013,重庆市九龙坡区档案局爱国主义教育基地灯饰工程合同,,九龙坡区档案局,重庆点至科技有限公司,其他未列明建筑业,4.32744,coordination,0.3,默认:通用采购
2013,热水系统,,重庆铁路中学,重庆同泽冷暖设备有限公司,热力生产和供应,92.0,compliance,0.95,采购人决定:合规
2013,13A1034项目合同,,重庆铁路中学,重庆四通都成科技发展有限公司,信息系统集成服务,506.133489,compliance,0.95,采购人决定:合规
2013,材料采购合同,,石桥铺街道社区卫生服务中心,重庆顺合电子科技有限公司,卫生和社会工作,18.3,compliance,0.9,行业决定:合规
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆市义茂利制冷设备有限公司,中等职业学校教育,63.5002,compliance,0.95,采购人决定:合规
2013,电（扶）梯购销安装,,九龙坡区职业教育中心(中梁山矿务学校),重庆东森电梯有限公司,中等职业学校教育,17.2,compliance,0.95,采购人决定:合规
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆市义茂利制冷设备有限公司,中等职业学校教育,3.6501,compliance,0.95,采购人决定:合规
2013,数控车床维修平台,,九龙坡区职业教育中心(中梁山矿务学校),浙江天煌科技实业有限公司,中等职业学校教育,79.83,compliance,0.95,采购人决定:合规
2013,电梯设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆东森电梯有限公司,中等职业学校教育,59.3,compliance,0.95,采购人决定:合规
2013,九龙坡区实验幼儿园采购绞切机合同,,九龙坡区实验幼儿园,重庆康益酒店设备有限公司,日用家电设备零售,0.445,compliance,0.95,采购人决定:合规
2013,九龙坡区实验幼儿园定制画册合同,,九龙坡区实验幼儿园,重庆智睿图文设计有限公司,其他出版业,2.87,compliance,0.95,采购人决定:合规
2013,九龙坡区实验幼儿园采购户外音响设备合同,,九龙坡区实验幼儿园,渝中区锐声音响设备商行,音响设备制造,2.09,compliance,0.95,采购人决定:合规
2013,汽车设备等竞争性谈判,,九龙坡区职业教育中心(中梁山矿务学校),重庆国利汽车维修设备有限公司,中等职业学校教育,64.38,compliance,0.95,采购人决定:合规
2013,会计软件,,九龙坡区职业教育中心(中梁山矿务学校),广州市福思特科技有限公司,中等职业学校教育,18.0,compliance,0.95,采购人决定:合规
2013,冷暖柜机,,九龙坡区职业教育中心(中梁山矿务学校),重庆腾丰电器有限公司,中等职业学校教育,7.527,compliance,0.95,采购人决定:合规
2013,印刷机,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,1.7,compliance,0.95,采购人决定:合规
2013,监控设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆南电科技有限公司,中等职业学校教育,28.3,compliance,0.95,采购人决定:合规
2013,格力空调,,九龙坡区职业教育中心(中梁山矿务学校),重庆佳古格力电器设备销售有限公司,中等职业学校教育,53.9172,compliance,0.95,采购人决定:合规
2013,IP广播设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆四通都成科技发展有限公司,中等职业学校教育,67.158,compliance,0.95,采购人决定:合规
2013,机房设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆鑫满科技发展有限公司,中等职业学校教育,99.8,compliance,0.95,采购人决定:合规
2013,机电设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆英卡机电设备有限公司,中等职业学校教育,72.0,compliance,0.95,采购人决定:合规
2013,学生课桌椅,,九龙坡区职业教育中心(中梁山矿务学校),重庆市林宝家具有限公司,中等职业学校教育,12.48,compliance,0.95,采购人决定:合规
2013,办公桌凳柜,,九龙坡区职业教育中心(中梁山矿务学校),重庆市正萌教学设备有限公司,中等职业学校教育,2.317,compliance,0.95,采购人决定:合规
2013,数控软件,,九龙坡区职业教育中心(中梁山矿务学校),上海宇龙软件工程有限公司,中等职业学校教育,7.9,compliance,0.95,采购人决定:合规
2013,电脑机房设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆朗帝动利科技发展有限公司,中等职业学校教育,14.914,compliance,0.95,采购人决定:合规
2013,电脑设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆骏派商贸有限公司,中等职业学校教育,260.985,compliance,0.95,采购人决定:合规
2013,音箱设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,24.7929,compliance,0.95,采购人决定:合规
2013,汽车运用与维修专业设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆韬益商贸有限责任公司,中等职业学校教育,25.0,compliance,0.95,采购人决定:合规
2013,音响设备,,九龙坡区职业教育中心(中梁山矿务学校),重庆前锋科技有限公司,中等职业学校教育,24.7929,compliance,0.95,采购人决定:合规
2013,会议桌椅,,九龙坡区职业教育中心(中梁山矿务学校),重庆市正萌教学设备有限公司,中等职业学校教育,3.0,compliance,0.95,采购人决定:合规
2013,T3教学软件,,九龙坡区职业教育中心(中梁山矿务学校),重庆松涛科技有限公司,中等职业学校教育,4.5,compliance,0.95,采购人决定:合规
2013,购销合同,,区驿都实验学校(区白市驿镇一小),重庆金田厨具工程有限公司,金属制厨房用器具制造,2.0,compliance,0.95,采购人决定:合规
2013,重庆市政府采购货物购销合同,,区驿都实验学校(区白市驿镇一小),重庆高锦方联科技有限公司(黄亮-86155929-...,其他电子设备制造,0.314,compliance,0.95,采购人决定:合规
2013,课桌凳,,九龙坡区和平小学,重庆市正萌教学设备有限公司,普通小学教育,,compliance,0.95,采购人决定:合规
2013,空调购买,,九龙坡区和平小学,重庆同联机电设备安装工程有限公司,普通小学教育,,compliance,0.95,采购人决定:合规
2013,阅览室家具,,九龙坡区和平小学,重庆市澜林教学设备有限公司,普通小学教育,,compliance,0.95,采购人决定:合规
2013,含谷小学合唱台采购合同,,九龙坡区含谷镇小学,东莞市万江龙飞舞台设备厂,普通小学教育,,compliance,0.95,采购人决定:合规
2013,含谷小学课桌椅采购合同,,九龙坡区含谷镇小学,重庆鑫茂教学设备有限公司,普通小学教育,,compliance,0.95,采购人决定:合规
2013,华龙家园、华福家园廉租房智能化系统（含监控、停车场、门禁系统）合同,,九龙坡区房屋管理局,重庆祥腾科技发展有限公司,计算机、软件及辅助设备零售,54.8,coordination,0.3,默认:通用采购
2013,课桌凳采购,,重庆市人和中学（重庆电机厂子弟学校）,重庆聚宝教学设备有限公司,家具制造业,9.7,compliance,0.95,采购人决定:合规
2013,音响,,中共重庆市九龙坡区委老干部局,渝中区锐声音响设备商行,音响设备制造,0.75,coordination,0.3,默认:通用采购
2013,课桌凳,,九龙坡区新凤小学校,江津区几江云辉丽都剑桥家具厂,普通小学教育,4.8,compliance,0.95,采购人决定:合规
2013,重庆市政府采购购销合同,,重庆市渝西中学,重庆东洋锅炉有限公司,其他未列明餐饮业,,compliance,0.95,采购人决定:合规
2013,合同,,九龙坡区共和小学,成都南方家俱有限公司,制造业,0.17,compliance,0.95,采购人决定:合规
2013,合同,,九龙坡区共和小学,沙坪坝区森达家具厂,木质家具制造,1.288,compliance,0.95,采购人决定:合规
2013,国家统计局浦城调查队尼康D7000套机(18-105mm)采购合同,,国家统计局浦城调查队,广州市恒锵数码产品有限公司,公共管理、社会保障和社会组织,,coordination,0.3,默认:通用采购
2013,二圣镇中心学校食堂和门卫室电改造合同,,二圣中心学校,重庆西江建设（集团）有限公司,建筑业,2.99,compliance,0.95,采购人决定:合规
2013,北碚区华光小学图书采购合同,,重庆市北碚区华光小学,重庆新华传媒有限公司北碚新华书店,教育,2.49339,compliance,0.95,采购人决定:合规
2013,采购电脑,,兰桥镇,秀山柯龙数码科技有限公司,计算机、软件及辅助设备零售,0.856,coordination,0.3,默认:通用采购
2013,教室、实验室、功能室设备追加,,重庆市北碚区状元小学,重庆商社信息科技有限公司,制造业,2.932,compliance,0.95,采购人决定:合规
2013,采购离子色谱仪,,重庆市北碚区疾控中心,重庆迈克科技公司,制造业,53.5,compliance,0.95,采购人决定:合规
2013,重庆市北碚区云政务(一期)项目监理,,重庆市北碚区信息中心,重庆联盛建设项目管理有限公司,居民服务、修理和其他服务业,26.9,coordination,0.3,默认:通用采购
2013,全区体育健身路径维护,,九龙坡区体育局,重庆广亚体育设备制造有限公司,居民服务、修理和其他服务业,19.59,coordination,0.3,默认:通用采购
2013,公共场所创卫物资采购,,重庆市九龙坡区卫生健康综合行政执法支队,重庆祥福广告有限责任公司,制造业,13.521,coordination,0.3,默认:通用采购
2013,C区电力增容,,重庆市九龙坡区人民医院,重庆拓展电力工程勘察设计有限公司,制造业,1.4,compliance,0.95,采购人决定:合规
2013,电消毒锅,,重庆市九龙坡区人民医院,山东新华医疗器械有限公司,制造业,30.0,compliance,0.95,采购人决定:合规
2013,全区体育健身器材采购,,九龙坡区体育局,九龙坡区凯锐特体育器材厂,制造业,7.119,coordination,0.3,默认:通用采购
2013,传染病防治创卫物资采购,,重庆市九龙坡区卫生健康综合行政执法支队,重庆祥福广告有限责任公司,居民服务、修理和其他服务业,14.95,coordination,0.3,默认:通用采购
2013,全区体育健身路径维护,,九龙坡区体育局,重庆广亚体育设备制造有限公司,居民服务、修理和其他服务业,19.792,coordination,0.3,默认:通用采购
2013,完善国家农村义务教育薄弱学校改造市级项目“班班通”教室采购合同,无,重庆市綦江区教育信息技术与装备中心,綦江县互利电脑维修站,,6.7733,coordination,0.3,默认:通用采购
2013,环境应急设备采购合同,仪器设备,重庆市荣昌区环境保护局,重庆珍枫堂商贸有限公司,,4.6,coordination,0.3,默认:通用采购
2013,大湾电站增效扩容改造采购合同,电力电缆,重庆市万盛经济技术开发区水务局,重庆市南方阻燃电线电缆厂,,7.56757,coordination,0.95,采购人决定:协调
2013,博物馆布展装饰工程,布展装饰工程,黑龙江中医药大学,黑龙江华鼎建筑集团有限公司,,530.240188,compliance,0.95,采购人决定:合规
2013,和田地区墨玉县城镇垃圾收集清运系统建设项目的合同,和田地区墨玉县城镇垃圾收集清运系统建设项目,和田地区生态环境局墨玉县分局,濮阳市嘉得机械设备有限公司,,,coordination,0.3,默认:通用采购
2013,1,1,鹤岗市南山区住房和建设局,鹤岗市卓信人力资源外包服务有限公司,,0.51,coordination,0.3,默认:通用采购
2013,团结幼儿园新光幼儿园建设项目监理,团结幼儿园新光幼儿园建设项目监理,包头市昆都仑区教育局,内蒙古星元建设监理有限公司,,29.205,compliance,0.95,采购人决定:合规
2013,浦城县梦笔喜马拉雅有声图书馆（浦城县全民阅读城市书房二期）项目,音频节目制作和播控设备,浦城县图书馆,润物有声（福州）文化科技有限公司,,192.2175,compliance,0.85,关键词决定:合规
2013,公务用车定点加油情况说明,车辆加油、添加燃料服务,四川省农业科学院遥感与数字农业研究所,中国石化销售股份有限公司四川成都石油分公司,,0.8,compliance,0.95,采购人决定:合规
2013,科左中旗政务服务中心聘用第三方专业机构服务,科左中旗政务服务中心聘用第三方专业机构服务,科尔沁左翼中旗政务服务局,北京思源同创科技有限责任公司,,164.42,coordination,0.3,默认:通用采购
2013,河日木特村现代化养牛及棚舍建设养殖项目,河日木特村现代化养牛及棚舍建设养殖项目,霍林郭勒市达来胡硕苏木,霍林郭勒市利民建筑安装有限责任公司,,280.8135,coordination,0.3,默认:通用采购
2013,江门市公安局视频综合应用平台建设合同（补录）,江门市公安局视频综合应用平台建设项目,江门市公安局,广东仟张信息技术有限公司,,198.68,compliance,0.95,采购人决定:合规
2013,晋中学院新校区施工合同,工程,晋中学院,山西金环涂装有限公司,,,compliance,0.95,采购人决定:合规
2013,佛山市南海区医院管理中心互联网接入服务定点议价采购合同,网络接入服务,佛山市南海区医院管理中心,中国移动通信集团广东有限公司佛山分公司,,0.48,compliance,0.95,采购人决定:合规
2013,广东省惠州市博罗县龙华镇卫生院审计服务定点议价采购合同,审计服务,广东省惠州市博罗县龙华镇卫生院,惠州市天泓会计师事务所（普通合伙）,,0.8,compliance,0.95,采购人决定:合规
2013,太原理工大学新校区图书馆主体施工工程,工程尾款,太原理工大学,中铁十二局集团建筑安装工程有限公司,,,compliance,0.95,采购人决定:合规
